event,lifecycle:transition,org:resource,completeTime,Activity,Resource,org:group,case,case:variant,case:variant-index,case:creator
Queued-Awaiting Assignment,complete,Minnie-Org line A2,2006-01-11 16:49:42+02:00,Queued-Awaiting Assignment,Minnie,Org line A2,1-109135791,Variant 77,77,Fluxicon Disco
Accepted-In Progress,complete,Minnie-Org line A2,2012-03-15 12:53:52+02:00,Accepted-In Progress,Minnie,Org line A2,1-109135791,Variant 77,77,Fluxicon Disco
Accepted-Assigned,complete,Minnie-Org line A2,2012-03-15 12:56:17+02:00,Accepted-Assigned,Minnie,Org line A2,1-109135791,Variant 77,77,Fluxicon Disco
Accepted-In Progress,complete,Minnie-Org line A2,2012-03-15 13:09:05+02:00,Accepted-In Progress,Minnie,Org line A2,1-109135791,Variant 77,77,Fluxicon Disco
Completed-Closed,complete,Minnie-Org line A2,2012-03-15 13:11:33+02:00,Completed-Closed,Minnie,Org line A2,1-109135791,Variant 77,77,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2006-11-07 11:00:36+02:00,Accepted-In Progress,Tomas,Org line A2,1-147898401,Variant 78,78,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2006-11-07 14:05:44+02:00,Accepted-In Progress,Tomas,Org line A2,1-147898401,Variant 78,78,Fluxicon Disco
Accepted-Wait,complete,Tomas-Org line A2,2009-12-02 15:24:32+02:00,Accepted-Wait,Tomas,Org line A2,1-147898401,Variant 78,78,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2011-09-03 08:09:09+03:00,Accepted-In Progress,Tomas,Org line A2,1-147898401,Variant 78,78,Fluxicon Disco
Accepted-In Progress,complete,Carrie-Org line A2,2012-01-20 11:23:24+02:00,Accepted-In Progress,Carrie,Org line A2,1-147898401,Variant 78,78,Fluxicon Disco
Completed-Closed,complete,Carrie-Org line A2,2012-01-20 11:23:27+02:00,Completed-Closed,Carrie,Org line A2,1-147898401,Variant 78,78,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2007-03-20 10:06:25+02:00,Accepted-In Progress,Tomas,Org line A2,1-165554831,Variant 23,23,Fluxicon Disco
Accepted-Wait,complete,Tomas-Org line A2,2009-12-02 15:24:31+02:00,Accepted-Wait,Tomas,Org line A2,1-165554831,Variant 23,23,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2011-09-03 08:10:53+03:00,Accepted-In Progress,Tomas,Org line A2,1-165554831,Variant 23,23,Fluxicon Disco
Accepted-In Progress,complete,Carrie-Org line A2,2012-01-18 09:52:41+02:00,Accepted-In Progress,Carrie,Org line A2,1-165554831,Variant 23,23,Fluxicon Disco
Completed-Closed,complete,Carrie-Org line A2,2012-01-18 09:52:43+02:00,Completed-Closed,Carrie,Org line A2,1-165554831,Variant 23,23,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2007-05-10 17:21:54+03:00,Accepted-In Progress,Tomas,Org line A2,1-172473423,Variant 23,23,Fluxicon Disco
Accepted-Wait,complete,Tomas-Org line A2,2009-12-02 15:24:33+02:00,Accepted-Wait,Tomas,Org line A2,1-172473423,Variant 23,23,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2011-09-03 08:10:59+03:00,Accepted-In Progress,Tomas,Org line A2,1-172473423,Variant 23,23,Fluxicon Disco
Accepted-In Progress,complete,Carrie-Org line A2,2012-01-18 09:20:53+02:00,Accepted-In Progress,Carrie,Org line A2,1-172473423,Variant 23,23,Fluxicon Disco
Completed-Closed,complete,Carrie-Org line A2,2012-01-18 09:21:10+02:00,Completed-Closed,Carrie,Org line A2,1-172473423,Variant 23,23,Fluxicon Disco
Accepted-In Progress,complete,Niklas-Org line A2,2007-07-25 15:21:05+03:00,Accepted-In Progress,Niklas,Org line A2,1-182640781,Variant 37,37,Fluxicon Disco
Accepted-Wait,complete,Niklas-Org line A2,2009-12-02 15:24:32+02:00,Accepted-Wait,Niklas,Org line A2,1-182640781,Variant 37,37,Fluxicon Disco
Queued-Awaiting Assignment,complete,Niklas-Org line A2,2010-08-25 12:13:01+03:00,Queued-Awaiting Assignment,Niklas,Org line A2,1-182640781,Variant 37,37,Fluxicon Disco
Accepted-In Progress,complete,Niklas-Org line A2,2011-09-05 10:24:13+03:00,Accepted-In Progress,Niklas,Org line A2,1-182640781,Variant 37,37,Fluxicon Disco
Accepted-Assigned,complete,Niklas-Org line A2,2011-11-14 17:10:25+02:00,Accepted-Assigned,Niklas,Org line A2,1-182640781,Variant 37,37,Fluxicon Disco
Accepted-In Progress,complete,Niklas-Org line A2,2012-01-03 12:30:35+02:00,Accepted-In Progress,Niklas,Org line A2,1-182640781,Variant 37,37,Fluxicon Disco
Completed-Closed,complete,Niklas-Org line A2,2012-01-03 12:31:53+02:00,Completed-Closed,Niklas,Org line A2,1-182640781,Variant 37,37,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2008-05-07 19:58:51+03:00,Accepted-In Progress,Tomas,Org line A2,1-230541365,Variant 79,79,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2008-10-06 17:44:37+03:00,Accepted-In Progress,Tomas,Org line A2,1-230541365,Variant 79,79,Fluxicon Disco
Accepted-Wait,complete,Tomas-Org line A2,2009-12-02 15:24:34+02:00,Accepted-Wait,Tomas,Org line A2,1-230541365,Variant 79,79,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2011-09-02 01:27:50+03:00,Accepted-In Progress,Tomas,Org line A2,1-230541365,Variant 79,79,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2011-09-02 01:27:55+03:00,Accepted-In Progress,Tomas,Org line A2,1-230541365,Variant 79,79,Fluxicon Disco
Accepted-In Progress,complete,Carrie-Org line A2,2012-01-20 08:53:32+02:00,Accepted-In Progress,Carrie,Org line A2,1-230541365,Variant 79,79,Fluxicon Disco
Completed-Closed,complete,Carrie-Org line A2,2012-01-20 08:53:35+02:00,Completed-Closed,Carrie,Org line A2,1-230541365,Variant 79,79,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2008-06-04 13:02:18+03:00,Accepted-In Progress,Tomas,Org line A2,1-236817141,Variant 37,37,Fluxicon Disco
Accepted-Wait,complete,Tomas-Org line A2,2009-12-02 15:24:34+02:00,Accepted-Wait,Tomas,Org line A2,1-236817141,Variant 37,37,Fluxicon Disco
Queued-Awaiting Assignment,complete,Tomas-Org line A2,2010-08-25 12:06:45+03:00,Queued-Awaiting Assignment,Tomas,Org line A2,1-236817141,Variant 37,37,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2011-09-03 09:02:11+03:00,Accepted-In Progress,Tomas,Org line A2,1-236817141,Variant 37,37,Fluxicon Disco
Accepted-Assigned,complete,Niklas-Org line A2,2011-11-14 17:09:27+02:00,Accepted-Assigned,Niklas,Org line A2,1-236817141,Variant 37,37,Fluxicon Disco
Accepted-In Progress,complete,Tomas-Org line A2,2012-01-05 15:08:18+02:00,Accepted-In Progress,Tomas,Org line A2,1-236817141,Variant 37,37,Fluxicon Disco
Completed-Closed,complete,Tomas-Org line A2,2012-01-05 15:09:00+02:00,Completed-Closed,Tomas,Org line A2,1-236817141,Variant 37,37,Fluxicon Disco
Accepted-In Progress,complete,Juan-Org line V7n,2008-11-13 10:43:32+02:00,Accepted-In Progress,Juan,Org line V7n,1-270399977,Variant 80,80,Fluxicon Disco
Accepted-In Progress,complete,Juan-Org line V7n,2012-01-30 11:56:24+02:00,Accepted-In Progress,Juan,Org line V7n,1-270399977,Variant 80,80,Fluxicon Disco
Accepted-In Progress,complete,Juan-Org line V7n,2012-01-30 12:12:05+02:00,Accepted-In Progress,Juan,Org line V7n,1-270399977,Variant 80,80,Fluxicon Disco
Queued-Awaiting Assignment,complete,Earl-Org line V7n,2012-02-16 15:52:16+02:00,Queued-Awaiting Assignment,Earl,Org line V7n,1-270399977,Variant 80,80,Fluxicon Disco
Accepted-In Progress,complete,Juan-Org line V7n,2012-02-16 16:09:17+02:00,Accepted-In Progress,Juan,Org line V7n,1-270399977,Variant 80,80,Fluxicon Disco
Queued-Awaiting Assignment,complete,Earl-Org line V7n,2012-02-16 16:09:43+02:00,Queued-Awaiting Assignment,Earl,Org line V7n,1-270399977,Variant 80,80,Fluxicon Disco
Accepted-In Progress,complete,Juan-Org line V7n,2012-02-16 16:10:10+02:00,Accepted-In Progress,Juan,Org line V7n,1-270399977,Variant 80,80,Fluxicon Disco
