concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,case:concept:name,case:variant,case:variant-index,case:creator
Assign seriousness,complete,Value 2,2010-01-13 08:40:25+02:00,Assign seriousness,Value 2,Case3608,Variant 33,33,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-01-29 08:52:27+02:00,Take in charge ticket,Value 2,Case3608,Variant 33,33,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-01-29 08:52:34+02:00,Resolve ticket,Value 2,Case3608,Variant 33,33,Fluxicon Disco
Closed,complete,Value 5,2010-02-13 08:52:48+02:00,Closed,Value 5,Case3608,Variant 33,33,Fluxicon Disco
Closed,complete,Value 5,2010-02-13 08:52:48+02:00,Closed,Value 5,Case3608,Variant 33,33,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-13 12:26:04+02:00,Assign seriousness,Value 2,Case2748,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-01-19 09:26:05+02:00,Take in charge ticket,Value 2,Case2748,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-01-19 09:28:50+02:00,Resolve ticket,Value 2,Case2748,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-02-13 12:00:28+02:00,Closed,Value 5,Case2748,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-13 12:30:37+02:00,Assign seriousness,Value 2,Case4284,Variant 219,219,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-27 13:31:11+02:00,Assign seriousness,Value 2,Case4284,Variant 219,219,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-01-27 13:31:18+02:00,Take in charge ticket,Value 2,Case4284,Variant 219,219,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-01-27 13:31:24+02:00,Resolve ticket,Value 2,Case4284,Variant 219,219,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-01-27 15:59:14+02:00,Take in charge ticket,Value 2,Case4284,Variant 219,219,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-01-27 15:59:23+02:00,Resolve ticket,Value 2,Case4284,Variant 219,219,Fluxicon Disco
Closed,complete,Value 5,2010-02-11 15:59:39+02:00,Closed,Value 5,Case4284,Variant 219,219,Fluxicon Disco
Closed,complete,Value 16,2010-03-05 16:01:37+02:00,Closed,Value 16,Case4284,Variant 219,219,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-13 13:09:31+02:00,Assign seriousness,Value 2,Case1534,Variant 33,33,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-01-26 09:50:48+02:00,Take in charge ticket,Value 2,Case1534,Variant 33,33,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-01-26 09:50:55+02:00,Resolve ticket,Value 2,Case1534,Variant 33,33,Fluxicon Disco
Closed,complete,Value 5,2010-02-13 13:10:27+02:00,Closed,Value 5,Case1534,Variant 33,33,Fluxicon Disco
Closed,complete,Value 5,2010-02-13 13:10:27+02:00,Closed,Value 5,Case1534,Variant 33,33,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-13 17:25:25+02:00,Assign seriousness,Value 2,Case406,Variant 4,4,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-13 17:25:38+02:00,Assign seriousness,Value 2,Case406,Variant 4,4,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-01-14 11:42:31+02:00,Take in charge ticket,Value 2,Case406,Variant 4,4,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-01-14 11:42:37+02:00,Resolve ticket,Value 2,Case406,Variant 4,4,Fluxicon Disco
Closed,complete,Value 5,2010-02-13 17:01:54+02:00,Closed,Value 5,Case406,Variant 4,4,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-14 09:10:48+02:00,Assign seriousness,Value 2,Case4539,Variant 4,4,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-14 09:11:02+02:00,Assign seriousness,Value 2,Case4539,Variant 4,4,Fluxicon Disco
Take in charge ticket,complete,Value 15,2010-01-20 09:15:20+02:00,Take in charge ticket,Value 15,Case4539,Variant 4,4,Fluxicon Disco
Resolve ticket,complete,Value 15,2010-01-20 09:26:05+02:00,Resolve ticket,Value 15,Case4539,Variant 4,4,Fluxicon Disco
Closed,complete,Value 5,2010-03-06 09:26:32+02:00,Closed,Value 5,Case4539,Variant 4,4,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-14 09:52:50+02:00,Assign seriousness,Value 2,Case2118,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 21,2010-02-09 15:01:11+02:00,Take in charge ticket,Value 21,Case2118,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 21,2010-02-17 09:44:53+02:00,Resolve ticket,Value 21,Case2118,Variant 1,1,Fluxicon Disco
Closed,complete,Value 21,2010-02-17 09:44:59+02:00,Closed,Value 21,Case2118,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-14 10:35:38+02:00,Assign seriousness,Value 2,Case3625,Variant 4,4,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-14 10:35:57+02:00,Assign seriousness,Value 2,Case3625,Variant 4,4,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-01 11:43:31+02:00,Take in charge ticket,Value 2,Case3625,Variant 4,4,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-02-12 11:00:01+02:00,Resolve ticket,Value 2,Case3625,Variant 4,4,Fluxicon Disco
Closed,complete,Value 5,2010-02-27 11:00:17+02:00,Closed,Value 5,Case3625,Variant 4,4,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-15 17:11:07+02:00,Assign seriousness,Value 2,Case1621,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-01 08:16:26+02:00,Take in charge ticket,Value 2,Case1621,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-02-01 08:30:33+02:00,Resolve ticket,Value 2,Case1621,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-02-16 08:30:55+02:00,Closed,Value 5,Case1621,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-18 09:30:02+02:00,Assign seriousness,Value 2,Case390,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-01-18 09:30:24+02:00,Take in charge ticket,Value 2,Case390,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-01-18 09:32:21+02:00,Resolve ticket,Value 2,Case390,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-03-03 09:40:25+02:00,Closed,Value 5,Case390,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-19 09:11:08+02:00,Assign seriousness,Value 2,Case1941,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-01-21 09:14:12+02:00,Take in charge ticket,Value 2,Case1941,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-01-21 10:08:05+02:00,Resolve ticket,Value 2,Case1941,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-02-19 09:20:25+02:00,Closed,Value 5,Case1941,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-19 17:01:04+02:00,Assign seriousness,Value 2,Case404,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-11 14:30:44+02:00,Take in charge ticket,Value 2,Case404,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-02-11 14:30:56+02:00,Resolve ticket,Value 2,Case404,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2010-02-26 14:31:15+02:00,Closed,Value 5,Case404,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 2,2010-01-21 08:49:07+02:00,Assign seriousness,Value 2,Case791,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2010-02-19 10:43:41+02:00,Take in charge ticket,Value 2,Case791,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2010-02-19 10:43:47+02:00,Resolve ticket,Value 2,Case791,Variant 1,1,Fluxicon Disco
