"case","event","startTime","completeTime","AMOUNT_REQ","REG_DATE","org:resource"
"173688","O_SELECTED","2011/10/01 11:45:09.243","2011/10/01 11:45:09.243","20000","2011/10/01 00:38:44.546","10862"
"173688","O_CREATED","2011/10/01 11:45:11.197","2011/10/01 11:45:11.197","20000","2011/10/01 00:38:44.546","10862"
"173688","O_SENT","2011/10/01 11:45:11.380","2011/10/01 11:45:11.380","20000","2011/10/01 00:38:44.546","10862"
"173688","O_SENT_BACK","2011/10/10 11:33:03.668","2011/10/10 11:33:03.668","20000","2011/10/01 00:38:44.546","11049"
"173688","O_ACCEPTED","2011/10/13 10:37:29.226","2011/10/13 10:37:29.226","20000","2011/10/01 00:38:44.546","10629"
"173691","O_SELECTED","2011/10/01 14:35:46.016","2011/10/01 14:35:46.016","5000","2011/10/01 08:08:58.256","10862"
"173691","O_CREATED","2011/10/01 14:35:47.488","2011/10/01 14:35:47.488","5000","2011/10/01 08:08:58.256","10862"
"173691","O_SENT","2011/10/01 14:35:47.583","2011/10/01 14:35:47.583","5000","2011/10/01 08:08:58.256","10862"
"173691","O_SELECTED","2011/10/03 16:56:17.731","2011/10/03 16:56:17.731","5000","2011/10/01 08:08:58.256","11120"
"173691","O_CANCELLED","2011/10/03 16:56:17.731","2011/10/03 16:56:17.731","5000","2011/10/01 08:08:58.256","11120"
"173691","O_CREATED","2011/10/03 16:56:19.613","2011/10/03 16:56:19.613","5000","2011/10/01 08:08:58.256","11120"
"173691","O_SENT","2011/10/03 16:56:19.645","2011/10/03 16:56:19.645","5000","2011/10/01 08:08:58.256","11120"
"173691","O_SENT_BACK","2011/10/10 10:14:43.775","2011/10/10 10:14:43.775","5000","2011/10/01 08:08:58.256","11049"
"173691","O_ACCEPTED","2011/10/10 14:17:26.306","2011/10/10 14:17:26.306","5000","2011/10/01 08:08:58.256","10809"
"173694","O_SELECTED","2011/10/03 13:40:14.632","2011/10/03 13:40:14.632","7000","2011/10/01 08:10:30.287","11201"
"173694","O_CREATED","2011/10/03 13:40:15.605","2011/10/03 13:40:15.605","7000","2011/10/01 08:10:30.287","11201"
"173694","O_SENT","2011/10/03 13:40:15.651","2011/10/03 13:40:15.651","7000","2011/10/01 08:10:30.287","11201"
"173694","O_SELECTED","2011/10/03 13:44:17.619","2011/10/03 13:44:17.619","7000","2011/10/01 08:10:30.287","11201"
"173694","O_CANCELLED","2011/10/03 13:44:17.619","2011/10/03 13:44:17.619","7000","2011/10/01 08:10:30.287","11201"
"173694","O_CREATED","2011/10/03 13:44:19.671","2011/10/03 13:44:19.671","7000","2011/10/01 08:10:30.287","11201"
"173694","O_SENT","2011/10/03 13:44:19.719","2011/10/03 13:44:19.719","7000","2011/10/01 08:10:30.287","11201"
"173694","O_SELECTED","2011/10/17 19:43:53.587","2011/10/17 19:43:53.587","7000","2011/10/01 08:10:30.287","10861"
"173694","O_CANCELLED","2011/10/17 19:43:53.587","2011/10/17 19:43:53.587","7000","2011/10/01 08:10:30.287","10861"
"173694","O_CREATED","2011/10/17 19:43:55.219","2011/10/17 19:43:55.219","7000","2011/10/01 08:10:30.287","10861"
"173694","O_SENT","2011/10/17 19:43:55.387","2011/10/17 19:43:55.387","7000","2011/10/01 08:10:30.287","10861"
"173694","O_SENT_BACK","2011/11/02 09:15:16.203","2011/11/02 09:15:16.203","7000","2011/10/01 08:10:30.287","11049"
"173694","O_ACCEPTED","2011/11/04 16:04:52.611","2011/11/04 16:04:52.611","7000","2011/10/01 08:10:30.287","10609"
"173715","O_SELECTED","2011/10/01 12:30:20.556","2011/10/01 12:30:20.556","45000","2011/10/01 09:59:10.501","10912"
"173715","O_CREATED","2011/10/01 12:30:21.780","2011/10/01 12:30:21.780","45000","2011/10/01 09:59:10.501","10912"
"173715","O_SENT","2011/10/01 12:30:21.806","2011/10/01 12:30:21.806","45000","2011/10/01 09:59:10.501","10912"
"173715","O_SENT_BACK","2011/10/10 12:54:03.401","2011/10/10 12:54:03.401","45000","2011/10/01 09:59:10.501","10899"
"173715","O_DECLINED","2011/10/13 11:05:24.620","2011/10/13 11:05:24.620","45000","2011/10/01 09:59:10.501","10138"
"173718","O_SELECTED","2011/10/01 10:44:40.725","2011/10/01 10:44:40.725","15000","2011/10/01 10:37:39.362","10862"
"173718","O_CREATED","2011/10/01 10:44:42.707","2011/10/01 10:44:42.707","15000","2011/10/01 10:37:39.362","10862"
"173718","O_SENT","2011/10/01 10:44:42.734","2011/10/01 10:44:42.734","15000","2011/10/01 10:37:39.362","10862"
"173718","O_SELECTED","2011/10/01 10:46:52.915","2011/10/01 10:46:52.915","15000","2011/10/01 10:37:39.362","10862"
"173718","O_CANCELLED","2011/10/01 10:46:52.915","2011/10/01 10:46:52.915","15000","2011/10/01 10:37:39.362","10862"
"173718","O_CREATED","2011/10/01 10:46:54.210","2011/10/01 10:46:54.210","15000","2011/10/01 10:37:39.362","10862"
"173718","O_SENT","2011/10/01 10:46:54.233","2011/10/01 10:46:54.233","15000","2011/10/01 10:37:39.362","10862"
"173718","O_SENT_BACK","2011/10/10 10:55:04.984","2011/10/10 10:55:04.984","15000","2011/10/01 10:37:39.362","11049"
"173718","O_ACCEPTED","2011/10/27 09:17:53.327","2011/10/27 09:17:53.327","15000","2011/10/01 10:37:39.362","10972"
"173721","O_SELECTED","2011/10/01 11:20:47.605","2011/10/01 11:20:47.605","9000","2011/10/01 11:07:34.279","10939"
"173721","O_CREATED","2011/10/01 11:20:49.026","2011/10/01 11:20:49.026","9000","2011/10/01 11:07:34.279","10939"
"173721","O_SENT","2011/10/01 11:20:49.058","2011/10/01 11:20:49.058","9000","2011/10/01 11:07:34.279","10939"
"173721","O_SENT_BACK","2011/10/06 09:49:46.110","2011/10/06 09:49:46.110","9000","2011/10/01 11:07:34.279","11029"
"173721","O_DECLINED","2011/10/10 16:28:25.531","2011/10/10 16:28:25.531","9000","2011/10/01 11:07:34.279","11009"
"173730","O_SELECTED","2011/10/01 15:40:08.254","2011/10/01 15:40:08.254","15000","2011/10/01 12:36:08.943","11203"
"173730","O_CREATED","2011/10/01 15:40:09.986","2011/10/01 15:40:09.986","15000","2011/10/01 12:36:08.943","11203"
"173730","O_SENT","2011/10/01 15:40:10.012","2011/10/01 15:40:10.012","15000","2011/10/01 12:36:08.943","11203"
"173730","O_SENT_BACK","2011/10/14 10:21:08.195","2011/10/14 10:21:08.195","15000","2011/10/01 12:36:08.943","11029"
"173730","O_ACCEPTED","2011/10/21 09:08:14.250","2011/10/21 09:08:14.250","15000","2011/10/01 12:36:08.943","10972"
"173736","O_SELECTED","2011/10/01 16:05:26.312","2011/10/01 16:05:26.312","15000","2011/10/01 13:01:58.813","11203"
"173736","O_CREATED","2011/10/01 16:05:27.699","2011/10/01 16:05:27.699","15000","2011/10/01 13:01:58.813","11203"
"173736","O_SENT","2011/10/01 16:05:27.739","2011/10/01 16:05:27.739","15000","2011/10/01 13:01:58.813","11203"
"173736","O_SELECTED","2011/10/04 12:59:20.034","2011/10/04 12:59:20.034","15000","2011/10/01 13:01:58.813","10982"
"173736","O_CANCELLED","2011/10/04 12:59:20.034","2011/10/04 12:59:20.034","15000","2011/10/01 13:01:58.813","10982"
"173736","O_CREATED","2011/10/04 12:59:21.264","2011/10/04 12:59:21.264","15000","2011/10/01 13:01:58.813","10982"
"173736","O_SENT","2011/10/04 12:59:21.304","2011/10/04 12:59:21.304","15000","2011/10/01 13:01:58.813","10982"
"173736","O_SENT_BACK","2011/10/10 13:33:58.634","2011/10/10 13:33:58.634","15000","2011/10/01 13:01:58.813","10899"
"173736","O_SELECTED","2011/10/13 11:36:52.601","2011/10/13 11:36:52.601","15000","2011/10/01 13:01:58.813","11169"
"173736","O_CANCELLED","2011/10/13 11:36:52.601","2011/10/13 11:36:52.601","15000","2011/10/01 13:01:58.813","11169"
"173736","O_CREATED","2011/10/13 11:36:53.652","2011/10/13 11:36:53.652","15000","2011/10/01 13:01:58.813","11169"
"173736","O_SENT","2011/10/13 11:36:53.686","2011/10/13 11:36:53.686","15000","2011/10/01 13:01:58.813","11169"
"173736","O_SENT_BACK","2011/10/18 10:20:36.413","2011/10/18 10:20:36.413","15000","2011/10/01 13:01:58.813","11029"
"173736","O_ACCEPTED","2011/10/18 12:01:28.757","2011/10/18 12:01:28.757","15000","2011/10/01 13:01:58.813","10809"
"173739","O_SELECTED","2011/10/01 15:56:39.615","2011/10/01 15:56:39.615","10000","2011/10/01 13:12:58.663","11000"
"173739","O_CREATED","2011/10/01 15:56:40.771","2011/10/01 15:56:40.771","10000","2011/10/01 13:12:58.663","11000"
"173739","O_SENT","2011/10/01 15:56:40.801","2011/10/01 15:56:40.801","10000","2011/10/01 13:12:58.663","11000"
"173739","O_SENT_BACK","2011/10/11 10:19:12.541","2011/10/11 10:19:12.541","10000","2011/10/01 13:12:58.663","11029"
"173739","O_ACCEPTED","2011/10/14 16:22:47.530","2011/10/14 16:22:47.530","10000","2011/10/01 13:12:58.663","10629"
"173745","O_SELECTED","2011/10/01 15:58:41.855","2011/10/01 15:58:41.855","2000","2011/10/01 14:08:16.293","11111"
"173745","O_CREATED","2011/10/01 15:58:44.837","2011/10/01 15:58:44.837","2000","2011/10/01 14:08:16.293","11111"
"173745","O_SENT","2011/10/01 15:58:44.859","2011/10/01 15:58:44.859","2000","2011/10/01 14:08:16.293","11111"
"173745","O_CANCELLED","2011/10/08 12:45:57.789","2011/10/08 12:45:57.789","2000","2011/10/01 14:08:16.293","11000"
"173748","O_SELECTED","2011/10/01 16:36:44.831","2011/10/01 16:36:44.831","5000","2011/10/01 14:09:16.087","11119"
"173748","O_CREATED","2011/10/01 16:37:32.632","2011/10/01 16:37:32.632","5000","2011/10/01 14:09:16.087","11119"
"173748","O_SENT","2011/10/01 16:37:32.669","2011/10/01 16:37:32.669","5000","2011/10/01 14:09:16.087","11119"
"173748","O_CANCELLED","2011/10/01 16:42:16.406","2011/10/01 16:42:16.406","5000","2011/10/01 14:09:16.087","11119"
"173748","O_SELECTED","2011/10/01 16:42:16.406","2011/10/01 16:42:16.406","5000","2011/10/01 14:09:16.087","11119"
"173748","O_CREATED","2011/10/01 16:42:17.394","2011/10/01 16:42:17.394","5000","2011/10/01 14:09:16.087","11119"
"173748","O_SENT","2011/10/01 16:42:17.419","2011/10/01 16:42:17.419","5000","2011/10/01 14:09:16.087","11119"
"173748","O_DECLINED","2011/10/03 16:44:19.335","2011/10/03 16:44:19.335","5000","2011/10/01 14:09:16.087","11001"
"173751","O_SELECTED","2011/10/01 16:49:59.191","2011/10/01 16:49:59.191","10000","2011/10/01 14:14:39.442","11111"
"173751","O_CREATED","2011/10/01 16:50:00.969","2011/10/01 16:50:00.969","10000","2011/10/01 14:14:39.442","11111"
"173751","O_SENT","2011/10/01 16:50:01.004","2011/10/01 16:50:01.004","10000","2011/10/01 14:14:39.442","11111"
"173751","O_SENT_BACK","2011/10/07 12:40:18.319","2011/10/07 12:40:18.319","10000","2011/10/01 14:14:39.442","10899"
"173751","O_ACCEPTED","2011/10/11 10:39:30.983","2011/10/11 10:39:30.983","10000","2011/10/01 14:14:39.442","10138"
"173760","O_SELECTED","2011/10/01 16:01:43.413","2011/10/01 16:01:43.413","32000","2011/10/01 15:15:17.454","11019"
"173760","O_CREATED","2011/10/01 16:01:44.340","2011/10/01 16:01:44.340","32000","2011/10/01 15:15:17.454","11019"
"173760","O_SENT","2011/10/01 16:01:44.367","2011/10/01 16:01:44.367","32000","2011/10/01 15:15:17.454","11019"
"173760","O_SENT_BACK","2011/10/11 11:01:37.837","2011/10/11 11:01:37.837","32000","2011/10/01 15:15:17.454","11049"
"173760","O_ACCEPTED","2011/10/14 15:41:03.384","2011/10/14 15:41:03.384","32000","2011/10/01 15:15:17.454","10972"
"173784","O_SELECTED","2011/10/04 17:37:27.175","2011/10/04 17:37:27.175","5000","2011/10/01 19:05:56.897","11122"
"173784","O_CREATED","2011/10/04 17:37:28.370","2011/10/04 17:37:28.370","5000","2011/10/01 19:05:56.897","11122"
"173784","O_SENT","2011/10/04 17:37:28.412","2011/10/04 17:37:28.412","5000","2011/10/01 19:05:56.897","11122"
"173784","O_SENT_BACK","2011/10/17 11:29:14.489","2011/10/17 11:29:14.489","5000","2011/10/01 19:05:56.897","11049"
"173784","O_ACCEPTED","2011/11/15 12:50:28.812","2011/11/15 12:50:28.812","5000","2011/10/01 19:05:56.897","10609"
"173787","O_SELECTED","2011/10/03 09:31:07.141","2011/10/03 09:31:07.141","5000","2011/10/01 19:06:01.646","11202"
"173787","O_CREATED","2011/10/03 09:31:08.267","2011/10/03 09:31:08.267","5000","2011/10/01 19:06:01.646","11202"
"173787","O_SENT","2011/10/03 09:31:08.302","2011/10/03 09:31:08.302","5000","2011/10/01 19:06:01.646","11202"
"173787","O_CANCELLED","2011/10/03 09:36:43.291","2011/10/03 09:36:43.291","5000","2011/10/01 19:06:01.646","11202"
"173787","O_SELECTED","2011/10/03 09:36:43.291","2011/10/03 09:36:43.291","5000","2011/10/01 19:06:01.646","11202"
"173787","O_CREATED","2011/10/03 09:36:44.181","2011/10/03 09:36:44.181","5000","2011/10/01 19:06:01.646","11202"
"173787","O_SENT","2011/10/03 09:36:44.208","2011/10/03 09:36:44.208","5000","2011/10/01 19:06:01.646","11202"
"173787","O_CANCELLED","2011/10/19 18:51:53.683","2011/10/19 18:51:53.683","5000","2011/10/01 19:06:01.646","11119"
"173790","O_SELECTED","2011/10/03 09:26:10.575","2011/10/03 09:26:10.575","5000","2011/10/01 19:14:15.425","11120"
"173790","O_CREATED","2011/10/03 09:26:11.521","2011/10/03 09:26:11.521","5000","2011/10/01 19:14:15.425","11120"
"173790","O_SENT","2011/10/03 09:26:11.544","2011/10/03 09:26:11.544","5000","2011/10/01 19:14:15.425","11120"
"173790","O_SENT_BACK","2011/10/07 12:37:07.523","2011/10/07 12:37:07.523","5000","2011/10/01 19:14:15.425","10789"
"173790","O_ACCEPTED","2011/10/10 14:22:35.594","2011/10/10 14:22:35.594","5000","2011/10/01 19:14:15.425","10609"
"173793","O_SELECTED","2011/10/03 14:53:19.306","2011/10/03 14:53:19.306","6000","2011/10/01 19:32:46.330","11120"
"173793","O_CREATED","2011/10/03 14:53:20.371","2011/10/03 14:53:20.371","6000","2011/10/01 19:32:46.330","11120"
"173793","O_SENT","2011/10/03 14:53:20.393","2011/10/03 14:53:20.393","6000","2011/10/01 19:32:46.330","11120"
"173793","O_SENT_BACK","2011/10/14 10:08:48.626","2011/10/14 10:08:48.626","6000","2011/10/01 19:32:46.330","11029"
"173793","O_ACCEPTED","2011/10/18 11:25:03.798","2011/10/18 11:25:03.798","6000","2011/10/01 19:32:46.330","10609"
"173796","O_SELECTED","2011/10/03 11:15:53.537","2011/10/03 11:15:53.537","15000","2011/10/01 20:19:11.828","11001"
"173796","O_CREATED","2011/10/03 11:16:42.008","2011/10/03 11:16:42.008","15000","2011/10/01 20:19:11.828","11001"
"173796","O_SENT","2011/10/03 11:16:42.037","2011/10/03 11:16:42.037","15000","2011/10/01 20:19:11.828","11001"
"173796","O_CANCELLED","2011/10/10 17:23:53.999","2011/10/10 17:23:53.999","15000","2011/10/01 20:19:11.828","11201"
"173805","O_SELECTED","2011/10/03 09:53:24.490","2011/10/03 09:53:24.490","5000","2011/10/01 21:07:54.696","11202"
"173805","O_CREATED","2011/10/03 09:53:25.300","2011/10/03 09:53:25.300","5000","2011/10/01 21:07:54.696","11202"
"173805","O_SENT","2011/10/03 09:53:25.329","2011/10/03 09:53:25.329","5000","2011/10/01 21:07:54.696","11202"
"173805","O_CANCELLED","2011/11/03 09:15:16.500","2011/11/03 09:15:16.500","5000","2011/10/01 21:07:54.696","112"
"173811","O_SELECTED","2011/10/03 11:47:47.198","2011/10/03 11:47:47.198","50000","2011/10/01 22:59:29.233","11180"
"173811","O_CREATED","2011/10/03 11:47:48.320","2011/10/03 11:47:48.320","50000","2011/10/01 22:59:29.233","11180"
"173811","O_SENT","2011/10/03 11:47:48.346","2011/10/03 11:47:48.346","50000","2011/10/01 22:59:29.233","11180"
"173811","O_CANCELLED","2011/11/03 09:15:25.320","2011/11/03 09:15:25.320","50000","2011/10/01 22:59:29.233","112"
"173817","O_SELECTED","2011/10/03 09:52:38.282","2011/10/03 09:52:38.282","7000","2011/10/02 00:57:28.742","11180"
"173817","O_CREATED","2011/10/03 09:52:39.285","2011/10/03 09:52:39.285","7000","2011/10/02 00:57:28.742","11180"
"173817","O_SENT","2011/10/03 09:52:39.309","2011/10/03 09:52:39.309","7000","2011/10/02 00:57:28.742","11180"
"173817","O_CANCELLED","2011/10/03 09:53:26.256","2011/10/03 09:53:26.256","7000","2011/10/02 00:57:28.742","11180"
"173817","O_SELECTED","2011/10/03 09:53:26.256","2011/10/03 09:53:26.256","7000","2011/10/02 00:57:28.742","11180"
"173817","O_CREATED","2011/10/03 09:53:27.636","2011/10/03 09:53:27.636","7000","2011/10/02 00:57:28.742","11180"
"173817","O_SENT","2011/10/03 09:53:27.660","2011/10/03 09:53:27.660","7000","2011/10/02 00:57:28.742","11180"
"173817","O_SENT_BACK","2011/10/07 13:23:32.793","2011/10/07 13:23:32.793","7000","2011/10/02 00:57:28.742","10899"
"173817","O_DECLINED","2011/10/11 09:15:45.243","2011/10/11 09:15:45.243","7000","2011/10/02 00:57:28.742","10609"
"173823","O_SELECTED","2011/10/03 09:57:31.958","2011/10/03 09:57:31.958","15000","2011/10/02 09:23:29.387","11120"
"173823","O_CREATED","2011/10/03 09:57:33.333","2011/10/03 09:57:33.333","15000","2011/10/02 09:23:29.387","11120"
"173823","O_SENT","2011/10/03 09:57:33.385","2011/10/03 09:57:33.385","15000","2011/10/02 09:23:29.387","11120"
"173823","O_SENT_BACK","2011/10/10 14:01:44.751","2011/10/10 14:01:44.751","15000","2011/10/02 09:23:29.387","10899"
"173823","O_DECLINED","2011/10/13 09:36:21.589","2011/10/13 09:36:21.589","15000","2011/10/02 09:23:29.387","10138"
"173835","O_SELECTED","2011/10/03 10:35:59.279","2011/10/03 10:35:59.279","10000","2011/10/02 10:20:29.934","11180"
"173835","O_CREATED","2011/10/03 10:36:00.341","2011/10/03 10:36:00.341","10000","2011/10/02 10:20:29.934","11180"
"173835","O_SENT","2011/10/03 10:36:00.372","2011/10/03 10:36:00.372","10000","2011/10/02 10:20:29.934","11180"
"173835","O_CANCELLED","2011/10/18 14:12:43.701","2011/10/18 14:12:43.701","10000","2011/10/02 10:20:29.934","10861"
"173844","O_SELECTED","2011/10/03 13:19:45.999","2011/10/03 13:19:45.999","15500","2011/10/02 11:03:26.714","11201"
"173844","O_CREATED","2011/10/03 13:19:47.043","2011/10/03 13:19:47.043","15500","2011/10/02 11:03:26.714","11201"
"173844","O_SENT","2011/10/03 13:19:47.073","2011/10/03 13:19:47.073","15500","2011/10/02 11:03:26.714","11201"
"173844","O_SENT_BACK","2011/10/10 10:17:48.189","2011/10/10 10:17:48.189","15500","2011/10/02 11:03:26.714","11049"
"173844","O_ACCEPTED","2011/10/11 14:57:01.617","2011/10/11 14:57:01.617","15500","2011/10/02 11:03:26.714","10629"
"173847","O_SELECTED","2011/10/03 10:22:05.122","2011/10/03 10:22:05.122","5000","2011/10/02 11:26:19.625","11202"
"173847","O_CREATED","2011/10/03 10:22:06.712","2011/10/03 10:22:06.712","5000","2011/10/02 11:26:19.625","11202"
"173847","O_SENT","2011/10/03 10:22:06.733","2011/10/03 10:22:06.733","5000","2011/10/02 11:26:19.625","11202"
"173847","O_SENT_BACK","2011/10/10 13:52:46.532","2011/10/10 13:52:46.532","5000","2011/10/02 11:26:19.625","10899"
"173847","O_DECLINED","2011/10/12 10:52:11.073","2011/10/12 10:52:11.073","5000","2011/10/02 11:26:19.625","10138"
"173859","O_SELECTED","2011/10/03 12:37:05.899","2011/10/03 12:37:05.899","5000","2011/10/02 11:47:41.502","11120"
"173859","O_CREATED","2011/10/03 12:37:07.181","2011/10/03 12:37:07.181","5000","2011/10/02 11:47:41.502","11120"
"173859","O_SENT","2011/10/03 12:37:07.220","2011/10/03 12:37:07.220","5000","2011/10/02 11:47:41.502","11120"
"173859","O_CANCELLED","2011/10/10 16:43:52.976","2011/10/10 16:43:52.976","5000","2011/10/02 11:47:41.502","11120"
"173868","O_SELECTED","2011/10/03 10:21:41.574","2011/10/03 10:21:41.574","5000","2011/10/02 12:24:18.960","11180"
"173868","O_CREATED","2011/10/03 10:21:42.754","2011/10/03 10:21:42.754","5000","2011/10/02 12:24:18.960","11180"
"173868","O_SENT","2011/10/03 10:21:42.783","2011/10/03 10:21:42.783","5000","2011/10/02 12:24:18.960","11180"
"173868","O_SENT_BACK","2011/10/20 09:11:49.533","2011/10/20 09:11:49.533","5000","2011/10/02 12:24:18.960","11029"
"173868","O_DECLINED","2011/10/26 08:07:33.910","2011/10/26 08:07:33.910","5000","2011/10/02 12:24:18.960","10609"
"173871","O_SELECTED","2011/10/04 19:40:46.526","2011/10/04 19:40:46.526","15500","2011/10/02 13:05:34.993","10909"
"173871","O_CREATED","2011/10/04 19:40:47.741","2011/10/04 19:40:47.741","15500","2011/10/02 13:05:34.993","10909"
"173871","O_SENT","2011/10/04 19:40:47.825","2011/10/04 19:40:47.825","15500","2011/10/02 13:05:34.993","10909"
"173871","O_SENT_BACK","2011/10/11 10:01:11.435","2011/10/11 10:01:11.435","15500","2011/10/02 13:05:34.993","11029"
"173871","O_DECLINED","2011/10/14 10:05:53.510","2011/10/14 10:05:53.510","15500","2011/10/02 13:05:34.993","10138"
"173880","O_SELECTED","2011/10/03 14:00:45.550","2011/10/03 14:00:45.550","50000","2011/10/02 13:24:15.505","11201"
"173880","O_CREATED","2011/10/03 14:00:46.779","2011/10/03 14:00:46.779","50000","2011/10/02 13:24:15.505","11201"
"173880","O_SENT","2011/10/03 14:00:46.805","2011/10/03 14:00:46.805","50000","2011/10/02 13:24:15.505","11201"
"173880","O_SENT_BACK","2011/10/24 11:28:26.304","2011/10/24 11:28:26.304","50000","2011/10/02 13:24:15.505","11029"
"173880","O_CANCELLED","2011/10/28 16:27:23.940","2011/10/28 16:27:23.940","50000","2011/10/02 13:24:15.505","11169"
"173880","O_SELECTED","2011/10/28 16:27:23.940","2011/10/28 16:27:23.940","50000","2011/10/02 13:24:15.505","11169"
"173880","O_CREATED","2011/10/28 16:27:25.408","2011/10/28 16:27:25.408","50000","2011/10/02 13:24:15.505","11169"
"173880","O_SENT","2011/10/28 16:27:25.432","2011/10/28 16:27:25.432","50000","2011/10/02 13:24:15.505","11169"
