"case","event","startTime","completeTime","creator","variant","variant-index","org:resource","org:group","Resource","Activity"
"1-109135791","Queued-Awaiting Assignment","2006/01/11 15:49:42.000","2006/01/11 15:49:42.000","Fluxicon Disco","Variant 77","77","Minnie-Org line A2","Org line A2","Minnie","Queued-Awaiting Assignment"
"1-109135791","Accepted-In Progress","2012/03/15 11:53:52.000","2012/03/15 11:53:52.000","Fluxicon Disco","Variant 77","77","Minnie-Org line A2","Org line A2","Minnie","Accepted-In Progress"
"1-109135791","Accepted-Assigned","2012/03/15 11:56:17.000","2012/03/15 11:56:17.000","Fluxicon Disco","Variant 77","77","Minnie-Org line A2","Org line A2","Minnie","Accepted-Assigned"
"1-109135791","Accepted-In Progress","2012/03/15 12:09:05.000","2012/03/15 12:09:05.000","Fluxicon Disco","Variant 77","77","Minnie-Org line A2","Org line A2","Minnie","Accepted-In Progress"
"1-109135791","Completed-Closed","2012/03/15 12:11:33.000","2012/03/15 12:11:33.000","Fluxicon Disco","Variant 77","77","Minnie-Org line A2","Org line A2","Minnie","Completed-Closed"
"1-147898401","Accepted-In Progress","2006/11/07 10:00:36.000","2006/11/07 10:00:36.000","Fluxicon Disco","Variant 78","78","Tomas-Org line A2","Org line A2","Tomas","Accepted-In Progress"
"1-147898401","Accepted-In Progress","2006/11/07 13:05:44.000","2006/11/07 13:05:44.000","Fluxicon Disco","Variant 78","78","Tomas-Org line A2","Org line A2","Tomas","Accepted-In Progress"
"1-147898401","Accepted-Wait","2009/12/02 14:24:32.000","2009/12/02 14:24:32.000","Fluxicon Disco","Variant 78","78","Tomas-Org line A2","Org line A2","Tomas","Accepted-Wait"
"1-147898401","Accepted-In Progress","2011/09/03 07:09:09.000","2011/09/03 07:09:09.000","Fluxicon Disco","Variant 78","78","Tomas-Org line A2","Org line A2","Tomas","Accepted-In Progress"
"1-147898401","Accepted-In Progress","2012/01/20 10:23:24.000","2012/01/20 10:23:24.000","Fluxicon Disco","Variant 78","78","Carrie-Org line A2","Org line A2","Carrie","Accepted-In Progress"
"1-147898401","Completed-Closed","2012/01/20 10:23:27.000","2012/01/20 10:23:27.000","Fluxicon Disco","Variant 78","78","Carrie-Org line A2","Org line A2","Carrie","Completed-Closed"
"1-165554831","Accepted-In Progress","2007/03/20 09:06:25.000","2007/03/20 09:06:25.000","Fluxicon Disco","Variant 23","23","Tomas-Org line A2","Org line A2","Tomas","Accepted-In Progress"
"1-165554831","Accepted-Wait","2009/12/02 14:24:31.000","2009/12/02 14:24:31.000","Fluxicon Disco","Variant 23","23","Tomas-Org line A2","Org line A2","Tomas","Accepted-Wait"
"1-165554831","Accepted-In Progress","2011/09/03 07:10:53.000","2011/09/03 07:10:53.000","Fluxicon Disco","Variant 23","23","Tomas-Org line A2","Org line A2","Tomas","Accepted-In Progress"
