org:resource,lifecycle:transition,concept:name,time:timestamp,case:REG_DATE,case:concept:name,case:AMOUNT_REQ
10913,COMPLETE,O_SELECTED,2012-01-07 11:46:37.453000+00:00,2012-01-06 13:07:50.797000+01:00,198582,25000
10913,COMPLETE,O_CREATED,2012-01-07 11:46:38.877000+00:00,2012-01-06 13:07:50.797000+01:00,198582,25000
10913,COMPLETE,O_SENT,2012-01-07 11:46:38.910000+00:00,2012-01-06 13:07:50.797000+01:00,198582,25000
11259,COMPLETE,O_SENT_BACK,2012-01-18 10:21:15.213000+00:00,2012-01-06 13:07:50.797000+01:00,198582,25000
10138,COMPLETE,O_ACCEPTED,2012-01-23 09:31:48.032000+00:00,2012-01-06 13:07:50.797000+01:00,198582,25000
10932,COMPLETE,O_SELECTED,2011-12-02 15:42:38.512000+00:00,2011-12-02 12:28:35.771000+01:00,190719,10000
10932,COMPLETE,O_CREATED,2011-12-02 15:42:39.771000+00:00,2011-12-02 12:28:35.771000+01:00,190719,10000
10932,COMPLETE,O_SENT,2011-12-02 15:42:39.808000+00:00,2011-12-02 12:28:35.771000+01:00,190719,10000
11200,COMPLETE,O_SELECTED,2011-12-31 11:25:08.792000+00:00,2011-12-02 12:28:35.771000+01:00,190719,10000
11200,COMPLETE,O_CANCELLED,2011-12-31 11:25:08.792000+00:00,2011-12-02 12:28:35.771000+01:00,190719,10000
11200,COMPLETE,O_CREATED,2011-12-31 11:25:10.061000+00:00,2011-12-02 12:28:35.771000+01:00,190719,10000
11200,COMPLETE,O_SENT,2011-12-31 11:25:10.154000+00:00,2011-12-02 12:28:35.771000+01:00,190719,10000
11259,COMPLETE,O_SENT_BACK,2012-01-13 15:27:23.327000+00:00,2011-12-02 12:28:35.771000+01:00,190719,10000
10609,COMPLETE,O_ACCEPTED,2012-01-25 09:46:37.723000+00:00,2011-12-02 12:28:35.771000+01:00,190719,10000
11181,COMPLETE,O_SELECTED,2012-02-29 19:35:29.710000+00:00,2012-02-29 18:19:57.839000+01:00,214226,25000
11181,COMPLETE,O_CREATED,2012-02-29 19:35:31.041000+00:00,2012-02-29 18:19:57.839000+01:00,214226,25000
11181,COMPLETE,O_SENT,2012-02-29 19:35:31.064000+00:00,2012-02-29 18:19:57.839000+01:00,214226,25000
11049,COMPLETE,O_SENT_BACK,2012-03-06 09:41:21.722000+00:00,2012-02-29 18:19:57.839000+01:00,214226,25000
10972,COMPLETE,O_ACCEPTED,2012-03-09 13:27:09.044000+00:00,2012-02-29 18:19:57.839000+01:00,214226,25000
11299,COMPLETE,O_SELECTED,2012-03-01 14:50:10.776000+00:00,2012-02-29 15:27:39.988000+01:00,214148,15000
11299,COMPLETE,O_CREATED,2012-03-01 14:50:12.139000+00:00,2012-02-29 15:27:39.988000+01:00,214148,15000
11299,COMPLETE,O_SENT,2012-03-01 14:50:12.196000+00:00,2012-02-29 15:27:39.988000+01:00,214148,15000
10889,COMPLETE,O_CANCELLED,2012-03-13 19:04:26.597000+00:00,2012-02-29 15:27:39.988000+01:00,214148,15000
11019,COMPLETE,O_SELECTED,2012-01-23 15:58:05.429000+00:00,2012-01-22 13:23:20.003000+01:00,202977,10000
11019,COMPLETE,O_CREATED,2012-01-23 15:58:06.286000+00:00,2012-01-22 13:23:20.003000+01:00,202977,10000
11019,COMPLETE,O_SENT,2012-01-23 15:58:06.308000+00:00,2012-01-22 13:23:20.003000+01:00,202977,10000
11201,COMPLETE,O_CANCELLED,2012-01-30 12:31:59.937000+00:00,2012-01-22 13:23:20.003000+01:00,202977,10000
10913,COMPLETE,O_SELECTED,2012-02-14 15:53:52.734000+00:00,2012-02-14 12:04:33.752000+01:00,209257,30000
