"case","event","startTime","completeTime","enddate_planned","enddate","responsible","channel","startdate","deadline","department","group","org:resource","org:group"
"case-10011","Confirmation of receipt","2011/10/11 13:45:40.276","2011/10/11 13:45:40.276","2011/12/06 13:41:31.788",,"Resource21","Internet","2011/10/11 13:42:22.688","2011/12/06 13:41:31.788","General","Group 2","Resource21","Group 1"
"case-10011","T02 Check confirmation of receipt","2011/10/12 08:26:25.398","2011/10/12 08:26:25.398","2011/12/06 13:41:31.788",,"Resource21","Internet","2011/10/11 13:42:22.688","2011/12/06 13:41:31.788","General","Group 2","Resource10","Group 4"
"case-10011","T03 Adjust confirmation of receipt","2011/11/24 15:36:51.302","2011/11/24 15:36:51.302","2011/12/06 13:41:31.788",,"Resource21","Internet","2011/10/11 13:42:22.688","2011/12/06 13:41:31.788","General","Group 2","Resource21","Group 1"
"case-10011","T02 Check confirmation of receipt","2011/11/24 15:37:16.553","2011/11/24 15:37:16.553","2011/12/06 13:41:31.788",,"Resource21","Internet","2011/10/11 13:42:22.688","2011/12/06 13:41:31.788","General","Group 2","Resource21","Group 4"
"case-10017","Confirmation of receipt","2011/10/18 13:46:39.679","2011/10/18 13:46:39.679","2011/12/06 01:06:40.010","2011/10/18 13:56:55.943","Resource04","Internet","2011/10/11 01:06:40.020","2011/12/06 01:06:40.000","General","Group 5","Resource30","EMPTY"
"case-10017","T06 Determine necessity of stop advice","2011/10/18 13:47:06.950","2011/10/18 13:47:06.950","2011/12/06 01:06:40.010","2011/10/18 13:56:55.943","Resource04","Internet","2011/10/11 01:06:40.020","2011/12/06 01:06:40.000","General","Group 5","Resource30","Group 1"
"case-10017","T02 Check confirmation of receipt","2011/10/18 13:47:26.235","2011/10/18 13:47:26.235","2011/12/06 01:06:40.010","2011/10/18 13:56:55.943","Resource04","Internet","2011/10/11 01:06:40.020","2011/12/06 01:06:40.000","General","Group 5","Resource30","Group 4"
"case-10017","T03 Adjust confirmation of receipt","2011/10/18 13:47:41.811","2011/10/18 13:47:41.811","2011/12/06 01:06:40.010","2011/10/18 13:56:55.943","Resource04","Internet","2011/10/11 01:06:40.020","2011/12/06 01:06:40.000","General","Group 5","Resource30","Group 1"
"case-10017","T02 Check confirmation of receipt","2011/10/18 13:47:57.979","2011/10/18 13:47:57.979","2011/12/06 01:06:40.010","2011/10/18 13:56:55.943","Resource04","Internet","2011/10/11 01:06:40.020","2011/12/06 01:06:40.000","General","Group 5","Resource30","Group 4"
"case-10017","T10 Determine necessity to stop indication","2011/10/18 13:48:15.357","2011/10/18 13:48:15.357","2011/12/06 01:06:40.010","2011/10/18 13:56:55.943","Resource04","Internet","2011/10/11 01:06:40.020","2011/12/06 01:06:40.000","General","Group 5","Resource30","Group 1"
