"case","event","startTime","completeTime","apploc:joinpoint","apprun:nanotime","apploc:app","apploc:linenr","apploc:etype","apprun:threadid","org:resource","apploc:filename","apploc:node","apploc:regionstr","apploc:tier"
,"org.junit.runner.JUnitCore.main(java.lang.String[])","2016/08/15 10:53:28.999","2016/08/15 10:53:29.807","org.junit.runner.JUnitCore.main(java.lang.String[])","4843095538592","junit-4.12","36","return","1","1","JUnitCore.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runner.JUnitCore.runMain(org.junit.internal.JUnitSystem,java.lang.String[])","2016/08/15 10:53:29.042","2016/08/15 10:53:29.807","org.junit.runner.JUnitCore.runMain(org.junit.internal.JUnitSystem,java.lang.String[])","4843095377795","junit-4.12","70","return","1","1","JUnitCore.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.RealSystem.out()","2016/08/15 10:53:29.042","2016/08/15 10:53:29.042","org.junit.internal.RealSystem.out()","4842331089579","junit-4.12","16","return","1","1","RealSystem.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runner.JUnitCommandLineParseResult.parse(java.lang.String[])","2016/08/15 10:53:29.057","2016/08/15 10:53:29.071","org.junit.runner.JUnitCommandLineParseResult.parse(java.lang.String[])","4842360547618","junit-4.12","42","return","1","1","JUnitCommandLineParseResult.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runner.JUnitCommandLineParseResult.parseOptions(java.lang.String[])","2016/08/15 10:53:29.058","2016/08/15 10:53:29.058","org.junit.runner.JUnitCommandLineParseResult.parseOptions(java.lang.String[])","4842350247162","junit-4.12","54","return","1","1","JUnitCommandLineParseResult.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runner.JUnitCommandLineParseResult.parseParameters(java.lang.String[])","2016/08/15 10:53:29.061","2016/08/15 10:53:29.071","org.junit.runner.JUnitCommandLineParseResult.parseParameters(java.lang.String[])","4842360494161","junit-4.12","98","return","1","1","JUnitCommandLineParseResult.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.Classes.getClass(java.lang.String)","2016/08/15 10:53:29.064","2016/08/15 10:53:29.071","org.junit.internal.Classes.getClass(java.lang.String)","4842360366721","junit-4.12","16","return","1","1","Classes.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.RealSystem.out()","2016/08/15 10:53:29.072","2016/08/15 10:53:29.072","org.junit.internal.RealSystem.out()","4842361742054","junit-4.12","16","return","1","1","RealSystem.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runner.JUnitCore.addListener(org.junit.runner.notification.RunListener)","2016/08/15 10:53:29.073","2016/08/15 10:53:29.077","org.junit.runner.JUnitCore.addListener(org.junit.runner.notification.RunListener)","4842365903120","junit-4.12","152","return","1","1","JUnitCore.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runner.notification.RunNotifier.addListener(org.junit.runner.notification.RunListener)","2016/08/15 10:53:29.073","2016/08/15 10:53:29.076","org.junit.runner.notification.RunNotifier.addListener(org.junit.runner.notification.RunListener)","4842365753869","junit-4.12","29","return","1","1","RunNotifier.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runner.notification.RunNotifier.wrapIfNotThreadSafe(org.junit.runner.notification.RunListener)","2016/08/15 10:53:29.073","2016/08/15 10:53:29.076","org.junit.runner.notification.RunNotifier.wrapIfNotThreadSafe(org.junit.runner.notification.RunListener)","4842365411746","junit-4.12","50","return","1","1","RunNotifier.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runner.JUnitCore.defaultComputer()","2016/08/15 10:53:29.077","2016/08/15 10:53:29.165","org.junit.runner.JUnitCore.defaultComputer()","4842454810094","junit-4.12","165","return","1","1","JUnitCore.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runner.JUnitCommandLineParseResult.createRequest(org.junit.runner.Computer)","2016/08/15 10:53:29.166","2016/08/15 10:53:29.668","org.junit.runner.JUnitCommandLineParseResult.createRequest(org.junit.runner.Computer)","4842957003741","junit-4.12","117","return","1","1","JUnitCommandLineParseResult.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runner.Request.classes(org.junit.runner.Computer,java.lang.Class[])","2016/08/15 10:53:29.234","2016/08/15 10:53:29.668","org.junit.runner.Request.classes(org.junit.runner.Computer,java.lang.Class[])","4842956905808","junit-4.12","74","return","1","1","Request.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runner.Computer.getSuite(org.junit.runners.model.RunnerBuilder,java.lang.Class[])","2016/08/15 10:53:29.251","2016/08/15 10:53:29.668","org.junit.runner.Computer.getSuite(org.junit.runners.model.RunnerBuilder,java.lang.Class[])","4842956437100","junit-4.12","28","return","1","1","Computer.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runners.model.RunnerBuilder.runners(java.lang.Class,java.lang.Class[])","2016/08/15 10:53:29.297","2016/08/15 10:53:29.665","org.junit.runners.model.RunnerBuilder.runners(java.lang.Class,java.lang.Class[])","4842953906248","junit-4.12","84","return","1","1","RunnerBuilder.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runners.model.RunnerBuilder.addParent(java.lang.Class)","2016/08/15 10:53:29.297","2016/08/15 10:53:29.297","org.junit.runners.model.RunnerBuilder.addParent(java.lang.Class)","4842586523020","junit-4.12","66","return","1","1","RunnerBuilder.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class)","2016/08/15 10:53:29.297","2016/08/15 10:53:29.399","org.junit.runners.model.RunnerBuilder.safeRunnerForClass(java.lang.Class)","4842688678692","junit-4.12","59","return","1","1","RunnerBuilder.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runner.Computer$1.runnerForClass(java.lang.Class)","2016/08/15 10:53:29.297","2016/08/15 10:53:29.665","org.junit.runner.Computer$1.runnerForClass(java.lang.Class)","4842953647091","junit-4.12","31","return","1","1","Computer.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.runner.Computer.getRunner(org.junit.runners.model.RunnerBuilder,java.lang.Class)","2016/08/15 10:53:29.297","2016/08/15 10:53:29.665","org.junit.runner.Computer.getRunner(org.junit.runners.model.RunnerBuilder,java.lang.Class)","4842953605608","junit-4.12","40","return","1","1","Computer.java","CalculatorTest","","hamcrest-core-1.3"
,"org.junit.internal.builders.AllDefaultPossibilitiesBuilder.runnerForClass(java.lang.Class)","2016/08/15 10:53:29.297","2016/08/15 10:53:29.665","org.junit.internal.builders.AllDefaultPossibilitiesBuilder.runnerForClass(java.lang.Class)","4842953574817","junit-4.12","18","return","1","1","AllDefaultPossibilitiesBuilder.java","CalculatorTest","","hamcrest-core-1.3"
