CaseID,ActivityID,CompleteTimestamp
4,4,2011-10-01 08:44:40
4,2,2011-10-01 08:44:42
4,5,2011-10-01 08:44:42
4,4,2011-10-01 08:46:52
4,1,2011-10-01 08:46:52
4,2,2011-10-01 08:46:54
4,5,2011-10-01 08:46:54
4,6,2011-10-10 08:55:04
4,0,2011-10-27 07:17:53
5,4,2011-10-01 09:20:47
5,2,2011-10-01 09:20:49
5,5,2011-10-01 09:20:49
5,6,2011-10-06 07:49:46
5,3,2011-10-10 14:28:25
0,4,2011-10-01 09:45:09
0,2,2011-10-01 09:45:11
0,5,2011-10-01 09:45:11
0,6,2011-10-10 09:33:03
0,0,2011-10-13 08:37:29
3,4,2011-10-01 10:30:20
3,2,2011-10-01 10:30:21
3,5,2011-10-01 10:30:21
3,6,2011-10-10 10:54:03
3,3,2011-10-13 09:05:24
1,4,2011-10-01 12:35:46
1,2,2011-10-01 12:35:47
1,5,2011-10-01 12:35:47
1,4,2011-10-03 14:56:17
1,1,2011-10-03 14:56:17
1,2,2011-10-03 14:56:19
1,5,2011-10-03 14:56:19
1,6,2011-10-10 08:14:43
1,0,2011-10-10 12:17:26
6,4,2011-10-01 13:40:08
6,2,2011-10-01 13:40:09
6,5,2011-10-01 13:40:10
6,6,2011-10-14 08:21:08
6,0,2011-10-21 07:08:14
8,4,2011-10-01 13:56:39
8,2,2011-10-01 13:56:40
8,5,2011-10-01 13:56:40
8,6,2011-10-11 08:19:12
8,0,2011-10-14 14:22:47
9,4,2011-10-01 13:58:41
9,2,2011-10-01 13:58:44
9,5,2011-10-01 13:58:44
9,1,2011-10-08 10:45:57
12,4,2011-10-01 14:01:43
12,2,2011-10-01 14:01:44
12,5,2011-10-01 14:01:44
12,6,2011-10-11 09:01:37
12,0,2011-10-14 13:41:03
7,4,2011-10-01 14:05:26
7,2,2011-10-01 14:05:27
7,5,2011-10-01 14:05:27
7,4,2011-10-04 10:59:20
7,1,2011-10-04 10:59:20
7,2,2011-10-04 10:59:21
7,5,2011-10-04 10:59:21
7,6,2011-10-10 11:33:58
7,4,2011-10-13 09:36:52
7,1,2011-10-13 09:36:52
7,2,2011-10-13 09:36:53
7,5,2011-10-13 09:36:53
7,6,2011-10-18 08:20:36
7,0,2011-10-18 10:01:28
10,4,2011-10-01 14:36:44
10,2,2011-10-01 14:37:32
10,5,2011-10-01 14:37:32
10,1,2011-10-01 14:42:16
10,4,2011-10-01 14:42:16
10,2,2011-10-01 14:42:17
10,5,2011-10-01 14:42:17
10,3,2011-10-03 14:44:19
11,4,2011-10-01 14:49:59
11,2,2011-10-01 14:50:00
11,5,2011-10-01 14:50:01
11,6,2011-10-07 10:40:18
11,0,2011-10-11 08:39:30
15,4,2011-10-03 07:26:10
15,2,2011-10-03 07:26:11
15,5,2011-10-03 07:26:11
15,6,2011-10-07 10:37:07
15,0,2011-10-10 12:22:35
14,4,2011-10-03 07:31:07
14,2,2011-10-03 07:31:08
14,5,2011-10-03 07:31:08
14,1,2011-10-03 07:36:43
14,4,2011-10-03 07:36:43
14,2,2011-10-03 07:36:44
14,5,2011-10-03 07:36:44
14,1,2011-10-19 16:51:53
20,4,2011-10-03 07:52:38
20,2,2011-10-03 07:52:39
20,5,2011-10-03 07:52:39
20,1,2011-10-03 07:53:26
20,4,2011-10-03 07:53:26
20,2,2011-10-03 07:53:27
20,5,2011-10-03 07:53:27
20,6,2011-10-07 11:23:32
20,3,2011-10-11 07:15:45
18,4,2011-10-03 07:53:24
18,2,2011-10-03 07:53:25
18,5,2011-10-03 07:53:25
18,1,2011-11-03 08:15:16
39,4,2011-10-03 07:54:36
39,2,2011-10-03 07:54:37
39,5,2011-10-03 07:54:37
39,6,2011-10-10 10:52:18
39,3,2011-10-13 08:26:07
21,4,2011-10-03 07:57:31
21,2,2011-10-03 07:57:33
21,5,2011-10-03 07:57:33
21,6,2011-10-10 12:01:44
21,3,2011-10-13 07:36:21
26,4,2011-10-03 08:21:41
26,2,2011-10-03 08:21:42
26,5,2011-10-03 08:21:42
26,6,2011-10-20 07:11:49
26,3,2011-10-26 06:07:33
24,4,2011-10-03 08:22:05
24,2,2011-10-03 08:22:06
24,5,2011-10-03 08:22:06
24,6,2011-10-10 11:52:46
24,3,2011-10-12 08:52:11
40,4,2011-10-03 08:33:55
40,2,2011-10-03 08:33:57
40,5,2011-10-03 08:33:57
40,1,2011-10-10 14:32:17
22,4,2011-10-03 08:35:59
22,2,2011-10-03 08:36:00
22,5,2011-10-03 08:36:00
22,1,2011-10-18 12:12:43
30,4,2011-10-03 08:43:47
30,2,2011-10-03 08:43:51
30,5,2011-10-03 08:43:51
30,6,2011-10-10 11:51:21
30,0,2011-10-12 14:00:58
42,4,2011-10-03 08:47:16
42,2,2011-10-03 08:47:17
42,5,2011-10-03 08:47:17
42,1,2011-11-03 08:15:19
34,4,2011-10-03 08:53:05
34,2,2011-10-03 08:53:06
34,5,2011-10-03 08:53:06
34,1,2011-11-03 08:15:22
17,4,2011-10-03 09:15:53
17,2,2011-10-03 09:16:42
17,5,2011-10-03 09:16:42
17,1,2011-10-10 15:23:53
37,4,2011-10-03 09:35:26
37,2,2011-10-03 09:35:28
37,5,2011-10-03 09:35:28
37,6,2011-10-10 08:41:34
37,0,2011-10-11 12:01:47
19,4,2011-10-03 09:47:47
19,2,2011-10-03 09:47:48
19,5,2011-10-03 09:47:48
19,1,2011-11-03 08:15:25
50,4,2011-10-03 10:18:43
50,2,2011-10-03 10:19:31
50,5,2011-10-03 10:19:31
50,6,2011-10-03 10:24:38
50,0,2011-10-18 08:10:34
49,4,2011-10-03 10:27:15
49,2,2011-10-03 10:27:16
49,5,2011-10-03 10:27:16
49,6,2011-10-06 07:54:35
49,0,2011-10-11 14:43:10
38,4,2011-10-03 10:36:32
38,2,2011-10-03 10:36:33
