CaseID,ActivityID,CompleteTimestamp
2899,0,2010-01-13 06:40:25
2899,11,2010-01-29 06:52:27
2899,9,2010-01-29 06:52:34
2899,1,2010-02-13 06:52:48
2899,1,2010-02-13 06:52:48
1943,0,2010-01-13 10:26:04
1943,11,2010-01-19 07:26:05
1943,9,2010-01-19 07:28:50
1943,1,2010-02-13 10:00:28
3650,0,2010-01-13 10:30:37
3650,0,2010-01-27 11:31:11
3650,11,2010-01-27 11:31:18
3650,9,2010-01-27 11:31:24
3650,11,2010-01-27 13:59:14
3650,9,2010-01-27 13:59:23
3650,1,2010-02-11 13:59:39
3650,1,2010-03-05 14:01:37
595,0,2010-01-13 11:09:31
595,11,2010-01-26 07:50:48
595,9,2010-01-26 07:50:55
595,1,2010-02-13 11:10:27
595,1,2010-02-13 11:10:27
3401,0,2010-01-13 15:25:25
3401,0,2010-01-13 15:25:38
3401,11,2010-01-14 09:42:31
3401,9,2010-01-14 09:42:37
3401,1,2010-02-13 15:01:54
3933,0,2010-01-14 07:10:48
3933,0,2010-01-14 07:11:02
3933,11,2010-01-20 07:15:20
3933,9,2010-01-20 07:26:05
3933,1,2010-03-06 07:26:32
1244,0,2010-01-14 07:52:50
1244,11,2010-02-09 13:01:11
1244,9,2010-02-17 07:44:53
1244,1,2010-02-17 07:44:59
2918,0,2010-01-14 08:35:38
2918,0,2010-01-14 08:35:57
2918,11,2010-02-01 09:43:31
2918,9,2010-02-12 09:00:01
2918,1,2010-02-27 09:00:17
692,0,2010-01-15 15:11:07
692,11,2010-02-01 06:16:26
692,9,2010-02-01 06:30:33
692,1,2010-02-16 06:30:55
3223,0,2010-01-18 07:30:02
3223,11,2010-01-18 07:30:24
3223,9,2010-01-18 07:32:21
3223,1,2010-03-03 07:40:25
1047,0,2010-01-19 07:11:08
1047,11,2010-01-21 07:14:12
1047,9,2010-01-21 08:08:05
1047,1,2010-02-19 07:20:25
3379,0,2010-01-19 15:01:04
3379,11,2010-02-11 12:30:44
3379,9,2010-02-11 12:30:56
3379,1,2010-02-26 12:31:15
4349,0,2010-01-21 06:49:07
4349,11,2010-02-19 08:43:41
4349,9,2010-02-19 08:43:47
4349,1,2010-03-21 08:44:31
540,0,2010-01-21 06:52:31
540,11,2010-02-17 08:05:11
540,9,2010-02-17 08:05:17
540,1,2010-03-04 08:05:28
3,0,2010-01-21 06:53:28
3,0,2010-01-21 06:53:34
3,11,2010-01-21 06:53:40
3,9,2010-01-26 12:06:53
3,1,2010-03-06 07:00:57
2129,0,2010-01-21 06:57:25
2129,0,2010-01-21 06:57:35
2129,11,2010-02-15 14:17:46
2129,9,2010-02-15 14:17:57
2129,1,2010-03-02 14:18:12
854,0,2010-01-22 06:17:33
854,11,2010-01-22 06:46:15
854,9,2010-01-25 11:23:52
854,1,2010-03-14 08:38:11
9,0,2010-01-22 09:09:40
9,11,2010-01-22 09:09:51
9,9,2010-01-22 09:09:59
9,1,2010-03-11 09:10:33
1937,0,2010-01-22 12:49:01
1937,11,2010-01-22 12:49:10
1937,11,2010-02-22 11:53:42
1937,9,2010-02-22 11:53:49
1937,1,2010-03-09 11:54:07
250,0,2010-01-26 09:36:21
250,11,2010-01-26 09:36:30
250,9,2010-01-26 14:06:29
250,11,2010-01-27 12:28:58
250,9,2010-02-08 09:54:13
250,1,2010-03-11 09:40:48
783,0,2010-01-26 12:14:39
783,11,2010-02-09 14:14:20
783,9,2010-02-09 14:14:25
783,1,2010-03-11 14:14:54
3896,0,2010-01-29 08:14:43
3896,11,2010-01-29 08:14:56
3896,9,2010-01-29 08:15:02
3896,1,2010-03-03 08:20:47
1603,0,2010-02-02 07:49:41
1603,0,2010-02-15 13:57:27
1603,11,2010-02-15 13:57:33
1603,9,2010-02-15 13:57:38
1603,1,2010-03-05 07:50:31
4123,0,2010-02-02 07:52:38
4123,11,2010-02-17 14:24:59
4123,9,2010-02-19 06:23:45
4123,1,2010-03-06 06:24:05
447,0,2010-02-02 07:57:11
447,11,2010-02-02 07:57:23
447,9,2010-02-02 07:57:29
447,1,2010-03-18 08:00:48
219,0,2010-02-02 08:17:37
219,11,2010-02-15 14:21:37
219,9,2010-02-15 14:22:30
219,1,2010-03-20 08:20:28
521,0,2010-02-02 08:18:33
521,0,2010-03-05 10:28:51
521,11,2010-03-05 10:28:58
521,9,2010-03-05 11:45:01
521,1,2010-03-20 11:45:16
989,0,2010-02-02 11:49:13
989,0,2010-02-02 12:04:15
989,11,2010-02-03 12:27:07
989,9,2010-02-03 12:27:16
989,1,2010-03-18 11:50:26
3754,0,2010-02-04 06:20:45
3754,0,2010-02-04 06:21:00
3754,11,2010-02-16 08:20:28
3754,13,2010-02-16 08:20:37
3754,11,2010-02-17 06:45:28
3754,9,2010-02-17 09:34:58
3754,1,2010-04-03 07:35:20
3119,0,2010-02-04 06:22:39
3119,11,2010-02-04 06:22:54
3119,13,2010-02-04 07:07:26
3119,11,2010-02-26 06:53:59
3119,9,2010-02-26 06:54:05
3119,9,2010-02-26 07:31:08
3119,1,2010-03-13 07:31:19
36,0,2010-02-04 07:40:52
36,0,2010-02-04 07:41:05
36,11,2010-02-04 07:41:23
36,2,2010-02-04 07:41:33
36,9,2010-02-22 12:05:31
36,1,2010-03-09 12:05:44
887,0,2010-02-04 08:36:44
887,11,2010-02-04 08:49:49
887,2,2010-02-04 08:49:57
887,9,2010-03-16 13:09:50
887,1,2010-03-31 11:10:02
1210,0,2010-02-04 08:37:45
1210,11,2010-02-04 09:01:28
1210,2,2010-02-04 09:01:35
1210,9,2010-03-16 13:08:40
1210,1,2010-03-31 11:08:53
4320,0,2010-02-05 09:15:48
4320,11,2010-02-12 09:14:18
4320,9,2010-02-24 15:09:08
4320,1,2010-03-11 15:09:42
1259,0,2010-02-08 09:02:38
1259,11,2010-02-19 15:03:44
1259,9,2010-02-19 15:03:53
1259,1,2010-03-26 09:12:43
214,0,2010-02-08 13:06:58
214,11,2010-02-08 13:12:00
214,13,2010-02-08 13:12:28
214,11,2010-02-25 14:56:34
214,9,2010-02-26 07:09:32
214,1,2010-03-28 05:10:03
4370,0,2010-02-09 06:31:47
4370,11,2010-02-09 06:35:12
4370,13,2010-02-09 06:35:26
4370,13,2010-02-09 06:36:27
4370,11,2010-02-19 06:31:40
4370,9,2010-02-19 06:32:00
4370,1,2010-04-09 04:40:43
3243,0,2010-02-09 06:47:01
3243,11,2010-03-09 13:17:24
3243,9,2010-03-09 13:17:28
3243,1,2010-03-24 13:17:46
4468,0,2010-02-09 12:31:28
4468,11,2010-02-09 12:31:46
4468,2,2010-02-09 12:32:02
4468,9,2010-03-22 14:18:31
4468,11,2010-03-22 14:18:50
4468,2,2010-03-22 14:18:56
4468,9,2010-03-22 14:22:09
4468,1,2010-04-06 12:22:17
147,0,2010-02-09 14:07:04
147,11,2010-02-09 14:07:11
147,9,2010-02-09 14:07:18
147,1,2010-03-29 12:11:23
3166,0,2010-02-09 14:10:28
3166,11,2010-03-19 06:41:33
3166,9,2010-03-19 06:41:38
3166,9,2010-03-19 06:51:04
3166,1,2010-04-03 04:51:11
2890,0,2010-02-09 14:17:06
2890,11,2010-02-23 14:40:34
2890,9,2010-03-16 07:05:38
2890,1,2010-03-31 05:05:52
2488,0,2010-02-10 06:42:57
2488,11,2010-02-16 09:50:53
2488,13,2010-02-16 09:50:57
2488,11,2010-03-16 06:51:00
2488,9,2010-03-16 06:51:06
2488,1,2010-03-31 04:51:20
2488,1,2010-03-31 04:51:20
1,0,2010-02-10 06:50:20
1,11,2010-03-19 06:47:06
1,9,2010-03-19 06:47:13
1,1,2010-04-03 04:47:38
4430,0,2010-02-10 06:52:42
4430,11,2010-02-22 07:06:59
4430,13,2010-02-22 07:43:38
4430,11,2010-03-10 06:17:55
4430,9,2010-03-10 06:18:00
4430,1,2010-04-09 04:18:19
3657,0,2010-02-10 06:58:35
3657,11,2010-02-23 12:58:59
3657,9,2010-02-23 13:15:40
3657,1,2010-03-13 07:00:39
2020,0,2010-02-10 07:15:34
2020,11,2010-02-15 14:20:05
2020,9,2010-02-26 12:19:07
2020,1,2010-03-28 10:19:31
2410,0,2010-02-10 07:16:26
2410,11,2010-02-15 14:19:28
2410,9,2010-03-17 08:05:36
2410,1,2010-04-01 06:05:51
568,0,2010-02-10 08:25:33
568,11,2010-02-10 08:33:38
568,9,2010-02-10 08:33:49
568,1,2010-03-13 08:30:26
726,0,2010-02-10 10:15:48
726,0,2010-02-24 09:20:45
726,11,2010-02-24 09:25:31
726,9,2010-03-15 15:26:37
726,1,2010-03-30 13:26:59
734,0,2010-02-11 06:48:50
734,11,2010-02-23 14:56:28
734,9,2010-02-23 14:56:36
734,1,2010-03-27 06:50:35
2149,0,2010-02-15 14:21:35
2149,11,2010-02-18 11:52:20
2149,9,2010-02-18 11:52:30
2149,1,2010-03-18 14:30:16
1818,0,2010-02-16 08:57:56
1818,11,2010-02-16 08:58:09
1818,9,2010-02-16 08:58:17
1818,1,2010-03-19 09:00:16
3668,0,2010-02-16 09:00:09
3668,11,2010-02-16 09:00:17
3668,9,2010-02-16 09:00:27
3668,1,2010-03-19 09:11:08
393,0,2010-02-17 13:36:36
393,11,2010-02-18 12:17:36
393,9,2010-02-18 12:17:42
393,1,2010-03-20 13:40:17
2199,0,2010-02-17 14:53:21
2199,11,2010-02-23 13:53:52
2199,9,2010-02-23 13:53:57
2199,1,2010-04-04 13:00:41
2593,0,2010-02-19 06:41:28
2593,11,2010-02-23 14:20:47
2593,9,2010-03-08 08:24:35
2593,1,2010-03-24 06:50:25
1850,0,2010-02-19 07:26:26
1850,11,2010-03-09 09:36:35
1850,9,2010-03-09 09:36:42
1850,1,2010-03-24 09:36:54
444,0,2010-02-19 07:28:22
444,11,2010-02-19 07:28:30
444,9,2010-02-19 07:28:36
444,1,2010-03-24 07:30:37
2858,0,2010-02-19 07:30:34
2858,0,2010-02-19 07:30:47
2858,13,2010-02-19 07:38:49
2858,11,2010-02-24 12:44:53
2858,9,2010-02-24 12:45:23
2858,1,2010-03-28 05:40:44
2073,0,2010-02-19 08:03:38
2073,11,2010-02-19 08:16:18
2073,9,2010-02-19 08:16:24
2073,1,2010-03-24 08:10:44
1733,0,2010-02-19 08:40:25
1733,0,2010-02-19 08:40:36
1733,11,2010-02-23 11:33:27
1733,9,2010-02-23 11:33:32
1733,1,2010-04-08 06:52:24
1538,0,2010-02-19 08:58:32
1538,11,2010-03-11 12:30:33
1538,9,2010-03-12 07:14:41
1538,1,2010-03-27 07:14:59
2299,0,2010-02-19 09:03:47
2299,11,2010-02-22 11:54:11
2299,9,2010-02-22 11:54:17
2299,1,2010-03-31 07:13:06
781,0,2010-02-19 09:15:15
781,0,2010-03-05 08:10:46
781,11,2010-03-05 09:05:36
781,9,2010-03-05 15:05:32
781,1,2010-03-23 10:29:15
3565,5,2010-02-19 11:43:46
3565,0,2010-02-26 08:35:39
3565,0,2010-03-05 10:29:12
3565,11,2010-03-05 10:29:30
3565,13,2010-03-05 11:28:44
3565,11,2010-03-08 11:28:09
3565,9,2010-03-08 11:28:16
3565,1,2010-03-23 11:28:34
3770,0,2010-02-19 14:10:34
3770,0,2010-02-19 14:11:03
3770,11,2010-02-19 14:11:11
3770,9,2010-02-22 06:49:09
3770,1,2010-03-24 14:20:18
4256,0,2010-02-22 12:02:29
4256,11,2010-02-22 12:02:39
4256,9,2010-03-09 14:17:19
4256,1,2010-03-25 12:10:31
366,0,2010-02-22 13:00:57
366,11,2010-02-22 13:01:16
366,13,2010-02-23 13:52:23
366,11,2010-02-24 07:50:30
366,9,2010-02-24 08:29:49
366,1,2010-03-25 13:10:39
2429,0,2010-02-23 08:23:50
2429,11,2010-02-23 08:24:02
2429,2,2010-02-23 13:40:54
2429,9,2010-02-23 13:41:00
2429,1,2010-04-08 06:30:20
1671,0,2010-02-23 08:41:22
1671,11,2010-03-16 12:25:16
1671,9,2010-03-17 09:10:57
1671,1,2010-04-01 07:11:19
287,0,2010-02-23 11:17:01
287,11,2010-02-23 11:17:09
287,9,2010-02-23 11:18:28
287,1,2010-04-08 09:21:57
1120,0,2010-02-24 14:03:18
1120,11,2010-02-24 14:03:46
1120,9,2010-02-24 14:03:51
1120,1,2010-04-09 12:11:23
1009,0,2010-02-25 07:43:58
1009,11,2010-03-04 14:29:36
1009,9,2010-03-04 15:14:36
1009,11,2010-03-05 10:14:51
1009,13,2010-03-05 10:14:59
1009,11,2010-03-24 11:39:00
1009,9,2010-03-26 15:42:37
1009,1,2010-04-10 13:42:55
1522,0,2010-02-25 13:07:33
1522,11,2010-02-26 13:25:37
1522,9,2010-03-12 07:50:25
1522,1,2010-04-14 11:10:36
2759,0,2010-02-26 08:16:38
2759,0,2010-02-26 08:19:46
2759,11,2010-03-11 12:29:07
2759,13,2010-03-11 12:29:11
2759,11,2010-04-09 10:46:37
2759,9,2010-04-09 10:46:44
2759,1,2010-04-24 10:46:56
1118,0,2010-02-26 08:32:49
1118,11,2010-03-11 15:07:32
1118,9,2010-03-12 06:23:33
1118,9,2010-03-12 06:23:59
1118,1,2010-03-31 06:40:20
4515,0,2010-03-03 09:38:08
4515,11,2010-03-03 09:41:15
4515,9,2010-03-03 09:49:35
4515,1,2010-05-02 07:50:25
4135,5,2010-03-04 14:49:18
4135,0,2010-03-08 11:59:35
4135,11,2010-03-08 12:00:06
4135,9,2010-03-08 12:00:16
4135,1,2010-04-06 12:50:21
1542,11,2010-03-05 08:08:27
1542,9,2010-03-05 08:14:58
1542,9,2010-03-08 10:10:08
1542,9,2010-03-08 10:10:23
1542,1,2010-04-07 06:10:54
3196,0,2010-03-08 08:18:30
3196,11,2010-03-08 09:31:55
3196,9,2010-03-08 09:32:00
3196,1,2010-04-21 06:20:32
1901,5,2010-03-08 09:43:25
1901,0,2010-03-08 09:44:57
1901,0,2010-03-08 09:45:49
1901,11,2010-03-08 09:52:48
1901,9,2010-03-08 15:00:50
1901,1,2010-04-21 07:50:28
4410,5,2010-03-08 09:52:47
4410,0,2010-03-08 09:56:49
4410,11,2010-03-15 08:17:38
4410,9,2010-03-15 08:21:22
4410,1,2010-04-21 08:00:30
3455,0,2010-03-09 06:06:03
3455,11,2010-03-09 06:06:12
3455,9,2010-03-09 15:18:06
3455,1,2010-04-09 04:10:41
2369,0,2010-03-09 06:18:19
2369,0,2010-03-09 06:18:29
2369,11,2010-03-12 13:03:44
2369,9,2010-04-13 09:21:08
2369,1,2010-04-13 09:21:18
2655,0,2010-03-09 07:08:53
2655,11,2010-03-09 07:09:07
2655,9,2010-03-09 07:42:22
2655,1,2010-04-09 05:10:33
2229,0,2010-03-09 08:01:13
2229,0,2010-04-16 12:56:14
2229,11,2010-04-16 12:56:18
2229,9,2010-04-16 12:56:30
2229,9,2010-04-16 12:56:30
2229,1,2010-05-01 12:56:46
4492,0,2010-03-09 08:09:33
4492,11,2010-03-09 08:09:44
4492,9,2010-03-18 07:27:56
4492,1,2010-05-02 05:28:46
2317,0,2010-03-09 09:06:39
2317,0,2010-03-09 09:06:58
2317,11,2010-03-09 09:07:27
2317,9,2010-03-09 09:10:28
2317,1,2010-04-09 07:10:44
1599,0,2010-03-09 13:22:22
1599,11,2010-03-09 13:57:34
1599,9,2010-03-16 09:39:45
1599,1,2010-04-15 11:30:35
1442,5,2010-03-10 06:29:54
1442,0,2010-03-10 06:31:20
1442,11,2010-03-10 06:31:29
1442,9,2010-03-23 13:36:12
1442,1,2010-04-23 04:30:26
1904,0,2010-03-10 06:50:17
1904,11,2010-04-19 05:22:43
1904,9,2010-04-19 05:23:40
1904,1,2010-05-04 05:23:57
1868,0,2010-03-10 06:51:50
1868,11,2010-03-15 09:10:26
1868,9,2010-04-20 05:31:38
1868,1,2010-05-05 05:31:53
2829,0,2010-03-10 13:38:28
2829,11,2010-03-16 06:53:29
2829,13,2010-03-23 06:30:30
2829,11,2010-04-20 05:27:41
2829,9,2010-04-20 05:27:51
2829,1,2010-05-05 05:28:02
2886,0,2010-03-10 13:53:18
2886,11,2010-03-22 14:14:53
2886,9,2010-03-23 09:13:36
2886,1,2010-04-23 12:00:25
3583,0,2010-03-11 06:06:12
3583,0,2010-03-11 06:06:24
3583,11,2010-03-11 06:06:33
3583,9,2010-03-12 12:33:52
3583,1,2010-04-13 04:10:28
4529,0,2010-03-11 09:21:24
4529,11,2010-03-11 09:21:40
4529,9,2010-03-11 09:21:45
4529,1,2010-04-13 07:30:20
274,0,2010-03-11 12:28:06
274,11,2010-03-15 08:14:59
274,13,2010-03-15 08:15:11
274,11,2010-03-23 06:27:31
274,9,2010-03-23 06:27:39
274,11,2010-03-23 12:37:15
274,13,2010-03-23 12:37:26
274,11,2010-03-24 09:28:29
274,2,2010-03-24 09:28:37
274,9,2010-04-07 05:18:56
274,11,2010-04-13 05:14:05
274,9,2010-04-13 05:16:05
274,1,2010-04-28 05:16:18
1470,0,2010-03-11 12:37:20
1470,11,2010-03-11 13:48:46
1470,9,2010-03-15 07:05:02
1470,1,2010-04-13 10:40:20
4303,0,2010-03-11 13:15:54
4303,0,2010-04-23 04:44:51
4303,11,2010-04-23 04:44:59
4303,9,2010-04-23 04:45:04
4303,1,2010-05-08 04:45:21
877,0,2010-03-12 06:05:41
877,0,2010-04-23 04:26:34
877,11,2010-04-23 04:26:43
877,9,2010-04-23 04:26:48
877,1,2010-05-08 04:27:30
877,1,2010-05-08 04:27:30
3040,0,2010-03-12 06:25:59
3040,11,2010-03-12 06:26:07
3040,9,2010-03-16 07:08:06
3040,1,2010-04-29 04:30:27
301,0,2010-03-12 07:28:49
301,11,2010-03-12 07:29:00
301,9,2010-03-12 07:37:27
301,1,2010-04-14 05:30:56
3028,0,2010-03-12 09:17:34
3028,11,2010-03-12 09:18:44
3028,9,2010-03-12 11:23:50
3028,1,2010-04-14 07:20:27
4360,0,2010-03-15 06:06:20
4360,11,2010-03-15 06:06:36
4360,9,2010-04-16 12:02:04
4360,1,2010-05-01 12:02:27
3420,5,2010-03-15 08:35:48
3420,0,2010-03-15 08:35:57
3420,11,2010-03-15 08:36:06
3420,9,2010-03-15 09:12:05
3420,1,2010-04-21 06:40:40
4258,0,2010-03-15 13:42:39
4258,0,2010-03-15 13:50:35
4258,11,2010-03-16 08:53:17
4258,9,2010-03-16 08:53:29
4258,9,2010-03-24 06:23:18
4258,1,2010-04-28 11:50:24
2431,0,2010-03-16 05:57:21
2431,0,2010-03-16 11:40:45
2431,11,2010-03-19 09:09:53
2431,9,2010-03-19 09:09:58
2431,9,2010-03-19 09:10:11
2431,1,2010-04-30 13:00:29
4470,0,2010-03-16 05:59:03
4470,11,2010-03-17 07:02:03
4470,9,2010-03-17 07:49:51
4470,1,2010-04-21 13:00:28
2064,0,2010-03-16 06:04:03
2064,11,2010-03-16 06:04:15
2064,9,2010-04-01 05:48:34
2064,1,2010-04-16 05:48:47
3421,0,2010-03-16 06:09:09
3421,11,2010-03-16 12:26:25
3421,9,2010-03-16 12:28:38
3421,1,2010-04-29 04:10:44
1969,0,2010-03-17 06:11:26
1969,11,2010-03-19 13:10:09
1969,9,2010-03-22 12:30:07
1969,1,2010-04-17 04:20:27
1426,0,2010-03-17 06:21:44
1426,11,2010-03-17 06:21:53
1426,9,2010-04-23 04:36:36
1426,1,2010-05-08 04:36:49
3204,5,2010-03-17 07:03:18
3204,0,2010-03-17 07:04:13
3204,11,2010-03-17 07:04:20
3204,9,2010-03-17 07:09:08
3204,1,2010-04-30 05:10:20
2450,0,2010-03-17 11:26:12
2450,11,2010-03-24 09:08:19
2450,9,2010-03-26 08:21:17
2450,1,2010-04-25 06:21:42
