CaseID,ActivityID,CompleteTimestamp
948,3,2013-11-07 07:18:29
948,5,2013-11-07 07:29:18
948,4,2013-11-07 07:37:32
948,8,2013-11-07 07:51:00
948,9,2013-11-07 07:51:00
948,2,2013-11-07 07:51:00
948,7,2013-11-07 08:05:57
948,6,2013-11-07 09:05:58
948,1,2013-11-07 10:11:34
948,9,2013-11-08 07:00:00
948,9,2013-11-12 07:00:00
948,10,2013-11-13 11:30:00
948,15,2013-12-11 10:02:20
328,3,2013-11-09 08:21:03
328,5,2013-11-09 08:34:28
328,4,2013-11-09 08:34:41
328,6,2013-11-09 08:34:56
328,9,2013-11-09 08:42:00
328,2,2013-11-09 08:42:00
328,8,2013-11-09 08:42:00
328,1,2013-11-09 09:56:59
328,9,2013-11-11 07:00:00
328,2,2013-11-11 07:00:00
328,10,2013-11-16 12:05:00
900,3,2013-11-09 11:04:54
900,5,2013-11-09 11:18:39
900,4,2013-11-09 11:18:59
900,2,2013-11-09 11:40:00
900,9,2013-11-09 11:40:00
900,7,2013-11-09 14:04:35
900,6,2013-11-09 14:04:41
604,3,2013-11-11 11:48:21
604,5,2013-11-11 12:16:57
604,4,2013-11-11 12:17:29
604,8,2013-11-11 12:23:00
604,9,2013-11-11 12:23:00
604,2,2013-11-11 12:23:00
604,7,2013-11-11 13:00:00
604,6,2013-11-11 14:00:00
604,1,2013-11-11 17:19:04
604,1,2013-11-12 10:21:45
604,9,2013-11-13 07:00:00
604,2,2013-11-13 07:00:00
604,9,2013-11-14 07:00:00
604,2,2013-11-14 07:00:00
604,10,2013-11-18 09:30:00
604,15,2013-11-22 13:25:53
834,3,2013-11-12 17:52:04
834,7,2013-11-12 18:00:31
834,5,2013-11-12 18:06:48
834,9,2013-11-12 18:24:00
834,2,2013-11-12 18:24:00
834,8,2013-11-12 18:24:00
834,4,2013-11-12 19:23:14
834,6,2013-11-12 19:23:46
834,1,2013-11-12 19:45:24
834,2,2013-11-14 07:00:00
834,9,2013-11-14 07:00:00
834,9,2013-11-16 07:00:00
834,2,2013-11-16 07:00:00
834,1,2013-11-18 10:01:59
834,10,2013-11-20 10:00:00
77,3,2013-11-13 13:11:53
77,5,2013-11-13 13:24:22
77,4,2013-11-13 13:24:50
77,2,2013-11-13 13:32:00
77,8,2013-11-13 13:32:00
77,9,2013-11-13 13:32:00
77,7,2013-11-13 16:38:28
77,6,2013-11-13 16:38:32
77,1,2013-11-13 16:39:29
77,2,2013-11-14 06:00:00
77,9,2013-11-14 06:00:00
77,8,2013-11-14 06:00:00
77,1,2013-11-14 10:16:03
77,2,2013-11-16 07:00:00
77,9,2013-11-16 07:00:00
77,10,2013-11-18 10:30:00
530,3,2013-11-13 13:23:53
530,5,2013-11-13 13:31:28
530,4,2013-11-13 13:31:45
530,2,2013-11-13 14:12:00
530,8,2013-11-13 14:12:00
530,9,2013-11-13 14:12:00
1041,3,2013-11-14 10:58:51
1041,5,2013-11-14 11:01:29
1041,4,2013-11-14 11:01:43
1041,9,2013-11-14 11:19:00
1041,2,2013-11-14 11:19:00
1041,8,2013-11-14 11:19:00
1041,7,2013-11-14 11:42:22
1041,8,2013-11-14 12:59:00
1041,9,2013-11-14 12:59:00
1041,2,2013-11-14 12:59:00
1041,6,2013-11-14 13:42:32
1041,1,2013-11-14 18:43:19
1041,10,2013-11-16 09:00:00
1041,15,2014-12-18 09:08:54
744,3,2013-11-16 03:07:53
744,5,2013-11-16 03:12:25
744,2,2013-11-16 03:32:00
744,8,2013-11-16 03:32:00
744,9,2013-11-16 03:32:00
744,4,2013-11-16 03:40:57
744,7,2013-11-16 03:41:32
744,6,2013-11-16 07:22:01
744,0,2013-11-16 07:23:30
744,9,2013-11-16 08:05:00
744,2,2013-11-16 08:05:00
744,8,2013-11-16 08:05:00
744,2,2013-11-16 16:48:00
744,9,2013-11-16 16:48:00
744,8,2013-11-16 16:48:00
744,11,2013-11-17 01:00:00
673,3,2013-11-16 08:13:30
673,5,2013-11-16 08:14:25
673,4,2013-11-16 08:14:43
673,9,2013-11-16 08:21:00
673,2,2013-11-16 08:21:00
673,8,2013-11-16 08:21:00
673,7,2013-11-16 10:36:40
673,6,2013-11-16 10:36:44
673,9,2013-11-16 10:37:00
673,1,2013-11-16 10:38:03
673,2,2013-11-19 07:00:00
673,9,2013-11-19 07:00:00
673,10,2013-11-19 16:00:00
673,15,2014-01-29 00:37:26
288,3,2013-11-16 10:38:41
288,5,2013-11-16 10:46:01
288,9,2013-11-16 10:49:00
288,2,2013-11-16 10:49:00
288,8,2013-11-16 10:49:00
288,4,2013-11-16 10:49:01
288,1,2013-11-16 13:51:41
288,1,2013-11-17 10:00:00
288,9,2013-11-18 13:00:00
288,2,2013-11-18 13:00:00
288,10,2013-11-22 09:00:00
868,3,2013-11-17 00:36:12
868,5,2013-11-17 00:37:00
868,4,2013-11-17 00:37:26
868,9,2013-11-17 00:55:00
868,2,2013-11-17 00:55:00
868,8,2013-11-17 00:55:00
868,6,2013-11-17 02:15:00
868,7,2013-11-17 02:30:00
868,0,2013-11-17 04:00:49
868,2,2013-11-17 06:00:00
868,9,2013-11-17 06:00:00
868,8,2013-11-17 06:00:00
868,9,2013-11-17 11:44:00
868,8,2013-11-17 15:56:00
868,8,2013-11-18 06:00:00
868,2,2013-11-18 06:00:00
868,9,2013-11-18 06:00:00
868,9,2013-11-19 06:00:00
868,2,2013-11-19 06:00:00
868,8,2013-11-19 06:00:00
868,9,2013-11-20 06:00:00
868,8,2013-11-20 06:00:00
868,2,2013-11-20 06:00:00
868,8,2013-11-21 06:00:00
868,9,2013-11-21 06:00:00
868,2,2013-11-21 06:00:00
868,1,2013-11-21 10:00:00
868,9,2013-11-22 07:00:00
868,2,2013-12-02 10:00:00
868,9,2013-12-02 10:00:00
868,9,2013-12-06 07:00:00
868,2,2013-12-06 07:00:00
868,9,2013-12-08 21:00:00
868,2,2013-12-09 07:00:00
868,9,2013-12-09 07:00:00
868,10,2013-12-13 13:00:00
401,3,2013-11-18 12:02:28
401,5,2013-11-18 12:06:55
401,4,2013-11-18 12:11:53
401,8,2013-11-18 12:28:00
401,9,2013-11-18 12:28:00
