CaseID,ActivityID,CompleteTimestamp
6579,0,2012-05-04 08:39:35
6579,0,2012-05-04 08:39:57
6579,1,2012-05-04 08:40:10
6550,0,2012-05-04 08:09:38
6550,0,2012-05-04 08:09:42
6550,1,2012-05-04 08:11:54
801,0,2012-04-19 17:37:43
801,0,2012-04-19 17:39:12
801,2,2012-04-19 17:39:47
801,0,2012-04-19 19:02:03
801,0,2012-04-19 19:02:12
801,1,2012-05-02 19:57:16
801,1,2012-05-09 23:18:50
1654,0,2012-04-26 13:36:16
1654,0,2012-04-26 13:40:12
1654,0,2012-04-26 13:41:24
1654,1,2012-05-02 17:08:23
1654,1,2012-05-09 23:17:27
650,0,2012-04-17 15:00:12
650,0,2012-04-17 15:06:05
650,1,2012-04-17 15:06:40
650,0,2012-04-17 15:06:42
650,2,2012-04-17 15:06:49
650,0,2012-04-17 20:52:45
650,2,2012-04-17 20:53:20
650,0,2012-04-18 04:56:12
650,2,2012-04-18 11:04:01
650,0,2012-05-01 18:51:31
650,1,2012-05-01 18:52:14
650,1,2012-05-08 23:15:09
1784,0,2012-04-27 07:45:53
1784,0,2012-04-27 07:47:06
1784,0,2012-04-27 08:11:23
1784,2,2012-04-27 11:55:32
1784,0,2012-04-27 12:21:33
1784,2,2012-04-27 12:26:13
1784,0,2012-04-28 01:26:18
1784,2,2012-04-28 01:26:22
1784,0,2012-05-04 14:29:16
1784,0,2012-05-04 14:29:27
1784,0,2012-05-08 08:50:20
1784,0,2012-05-08 09:06:43
1784,0,2012-05-08 09:32:12
1784,0,2012-05-08 09:34:48
1784,0,2012-05-08 10:31:26
1784,0,2012-05-08 10:40:24
1784,0,2012-05-10 06:29:05
1784,0,2012-05-10 06:38:13
1784,2,2012-05-10 06:54:18
1784,0,2012-05-10 07:40:47
1784,0,2012-05-10 07:54:34
1784,0,2012-05-10 10:16:56
1784,0,2012-05-10 10:17:18
1784,0,2012-05-11 09:13:05
1784,1,2012-05-11 09:15:21
1784,1,2012-05-11 23:18:45
6782,0,2012-05-04 09:26:54
6782,0,2012-05-04 09:28:54
6782,2,2012-05-04 09:29:52
6782,0,2012-05-04 11:23:23
6782,1,2012-05-07 06:38:12
6782,1,2012-05-14 23:19:32
1333,2,2012-04-25 12:56:26
1333,0,2012-04-25 14:10:07
1333,0,2012-04-25 14:10:18
1333,2,2012-04-25 14:10:20
1333,0,2012-04-25 19:41:45
1333,2,2012-04-26 07:57:36
1333,0,2012-05-02 09:18:57
1333,0,2012-05-02 09:19:50
1333,0,2012-05-04 12:05:36
1333,1,2012-05-04 12:46:50
1333,1,2012-05-04 23:15:09
5586,0,2012-05-03 11:36:48
5586,0,2012-05-03 11:37:05
5586,1,2012-05-03 11:46:38
5586,1,2012-05-10 23:17:46
6712,0,2012-05-04 09:24:18
6712,0,2012-05-04 09:24:26
6712,0,2012-05-04 09:41:56
6712,0,2012-05-04 10:32:16
6712,0,2012-05-04 10:44:42
6712,0,2012-05-04 12:16:03
6712,1,2012-05-04 12:16:13
6712,1,2012-05-11 23:14:49
663,0,2012-04-18 07:55:10
663,0,2012-04-18 07:55:32
