caseId,activity,timestamp,lifecycle
922,9,2011-10-12 18:37:09,COMPLETE
922,6,2011-10-12 18:37:09,COMPLETE
922,7,2011-10-12 18:38:27,COMPLETE
922,0,2011-10-12 18:52:20,COMPLETE
922,5,2011-10-12 18:53:47,COMPLETE
922,1,2011-10-31 06:56:48,COMPLETE
922,2,2011-10-31 06:56:48,COMPLETE
922,8,2011-10-31 06:56:48,COMPLETE
4122,9,2011-11-17 17:17:31,COMPLETE
4122,6,2011-11-17 17:17:31,COMPLETE
4122,4,2011-11-17 17:18:07,COMPLETE
3736,9,2011-11-14 19:41:53,COMPLETE
3736,6,2011-11-14 19:41:55,COMPLETE
3736,4,2011-11-14 19:58:37,COMPLETE
2737,9,2011-11-04 15:21:52,COMPLETE
2737,6,2011-11-04 15:21:52,COMPLETE
2737,7,2011-11-04 15:22:25,COMPLETE
2737,4,2011-11-04 17:23:57,COMPLETE
11147,9,2012-02-11 15:02:29,COMPLETE
11147,6,2012-02-11 15:02:31,COMPLETE
11147,7,2012-02-11 15:03:13,COMPLETE
11147,0,2012-02-13 09:54:55,COMPLETE
11147,5,2012-02-13 09:57:24,COMPLETE
11147,3,2012-02-20 15:18:38,COMPLETE
10618,9,2012-02-06 12:19:19,COMPLETE
10618,6,2012-02-06 12:19:21,COMPLETE
10618,7,2012-02-06 12:20:01,COMPLETE
10618,3,2012-02-06 19:05:56,COMPLETE
1115,9,2011-10-15 15:31:28,COMPLETE
1115,6,2011-10-15 15:31:28,COMPLETE
1115,7,2011-10-15 15:32:00,COMPLETE
1115,0,2011-10-17 07:23:07,COMPLETE
1115,5,2011-10-17 07:25:38,COMPLETE
1115,8,2011-10-31 11:14:32,COMPLETE
1115,2,2011-10-31 11:14:32,COMPLETE
1115,1,2011-10-31 11:14:32,COMPLETE
7643,9,2012-01-03 11:31:08,COMPLETE
7643,6,2012-01-03 11:31:08,COMPLETE
7643,4,2012-01-03 11:31:42,COMPLETE
9103,9,2012-01-18 15:37:00,COMPLETE
9103,6,2012-01-18 15:37:00,COMPLETE
9103,7,2012-01-18 15:40:10,COMPLETE
9103,0,2012-01-18 15:41:58,COMPLETE
9103,5,2012-01-18 15:48:46,COMPLETE
9103,3,2012-02-18 08:15:59,COMPLETE
8545,9,2012-01-12 15:14:07,COMPLETE
8545,6,2012-01-12 15:14:08,COMPLETE
8545,7,2012-01-12 15:14:43,COMPLETE
8545,0,2012-01-12 15:19:49,COMPLETE
8545,5,2012-01-12 15:22:26,COMPLETE
8545,2,2012-01-24 09:44:42,COMPLETE
8545,8,2012-01-24 09:44:42,COMPLETE
8545,1,2012-01-24 09:44:42,COMPLETE
12602,9,2012-02-26 00:51:21,COMPLETE
12602,6,2012-02-26 00:51:21,COMPLETE
12602,4,2012-02-26 00:52:12,COMPLETE
7526,9,2012-01-02 12:50:55,COMPLETE
7526,6,2012-01-02 12:50:55,COMPLETE
7526,7,2012-01-02 12:51:32,COMPLETE
7526,4,2012-01-02 19:33:15,COMPLETE
6060,9,2011-12-10 12:30:06,COMPLETE
6060,6,2011-12-10 12:30:06,COMPLETE
6060,4,2011-12-10 12:32:45,COMPLETE
11806,9,2012-02-17 18:40:15,COMPLETE
11806,6,2012-02-17 18:40:15,COMPLETE
11806,7,2012-02-17 18:40:51,COMPLETE
11806,0,2012-02-17 18:53:58,COMPLETE
11806,5,2012-02-17 18:55:57,COMPLETE
11806,2,2012-03-09 13:23:46,COMPLETE
11806,8,2012-03-09 13:23:46,COMPLETE
11806,1,2012-03-09 13:23:46,COMPLETE
5826,9,2011-12-07 08:30:48,COMPLETE
5826,6,2011-12-07 08:30:48,COMPLETE
5826,7,2011-12-07 08:31:32,COMPLETE
5826,0,2011-12-07 08:36:16,COMPLETE
5826,5,2011-12-07 08:42:04,COMPLETE
5826,1,2011-12-19 08:33:00,COMPLETE
5826,8,2011-12-19 08:33:00,COMPLETE
5826,2,2011-12-19 08:33:00,COMPLETE
12216,9,2012-02-22 10:29:16,COMPLETE
12216,6,2012-02-22 10:29:16,COMPLETE
12216,7,2012-02-22 10:29:49,COMPLETE
12216,0,2012-02-23 17:35:05,COMPLETE
12216,5,2012-02-23 17:42:03,COMPLETE
22,9,2011-10-01 12:50:09,COMPLETE
22,6,2011-10-01 12:50:11,COMPLETE
22,7,2011-10-01 12:50:51,COMPLETE
22,4,2011-10-14 12:28:39,COMPLETE
11083,9,2012-02-10 17:05:33,COMPLETE
11083,6,2012-02-10 17:05:33,COMPLETE
11083,4,2012-02-10 17:06:08,COMPLETE
10085,9,2012-01-30 18:58:28,COMPLETE
10085,6,2012-01-30 18:58:28,COMPLETE
10085,4,2012-01-30 19:11:44,COMPLETE
1563,9,2011-10-20 14:01:12,COMPLETE
1563,6,2011-10-20 14:01:12,COMPLETE
1563,4,2011-10-20 14:01:49,COMPLETE
5469,9,2011-12-02 13:23:34,COMPLETE
5469,6,2011-12-02 13:23:34,COMPLETE
5469,7,2011-12-02 13:24:09,COMPLETE
5469,0,2011-12-02 17:46:10,COMPLETE
5469,5,2011-12-02 17:52:02,COMPLETE
5469,3,2011-12-12 13:28:39,COMPLETE
7833,9,2012-01-04 19:30:34,COMPLETE
7833,6,2012-01-04 19:30:35,COMPLETE
7833,4,2012-01-04 19:44:09,COMPLETE
10225,9,2012-02-01 11:10:55,COMPLETE
10225,6,2012-02-01 11:10:56,COMPLETE
10225,7,2012-02-01 11:11:31,COMPLETE
10225,0,2012-02-01 17:20:34,COMPLETE
10225,5,2012-02-01 17:24:57,COMPLETE
10225,2,2012-02-20 09:45:57,COMPLETE
10225,8,2012-02-20 09:45:57,COMPLETE
10225,1,2012-02-20 09:45:57,COMPLETE
5526,9,2011-12-03 10:57:55,COMPLETE
5526,6,2011-12-03 10:57:56,COMPLETE
5526,7,2011-12-03 14:22:37,COMPLETE
5526,0,2011-12-05 10:19:15,COMPLETE
5526,5,2011-12-05 10:22:07,COMPLETE
5526,2,2011-12-27 14:43:30,COMPLETE
5526,1,2011-12-27 14:43:30,COMPLETE
5526,8,2011-12-27 14:43:30,COMPLETE
6175,9,2011-12-12 12:14:20,COMPLETE
6175,6,2011-12-12 12:14:20,COMPLETE
6175,4,2011-12-12 13:02:38,COMPLETE
10545,9,2012-02-05 08:41:43,COMPLETE
10545,6,2012-02-05 08:41:44,COMPLETE
10545,4,2012-02-05 08:42:30,COMPLETE
7595,9,2012-01-02 19:53:09,COMPLETE
7595,6,2012-01-02 19:53:09,COMPLETE
7595,4,2012-01-03 08:57:55,COMPLETE
4433,9,2011-11-20 10:46:59,COMPLETE
4433,6,2011-11-20 10:46:59,COMPLETE
4433,4,2011-11-21 08:59:27,COMPLETE
11215,9,2012-02-12 19:18:38,COMPLETE
11215,6,2012-02-12 19:18:38,COMPLETE
11215,4,2012-02-12 19:19:08,COMPLETE
127,9,2011-10-03 11:26:11,COMPLETE
127,6,2011-10-03 11:26:11,COMPLETE
127,4,2011-10-03 11:26:50,COMPLETE
8419,9,2012-01-11 14:34:09,COMPLETE
8419,6,2012-01-11 14:34:09,COMPLETE
8419,7,2012-01-11 14:34:42,COMPLETE
8419,0,2012-01-12 09:53:42,COMPLETE
8419,5,2012-01-12 09:57:18,COMPLETE
8419,3,2012-03-11 08:15:27,COMPLETE
1553,9,2011-10-20 12:20:23,COMPLETE
1553,6,2011-10-20 12:20:23,COMPLETE
1553,4,2011-10-20 12:51:57,COMPLETE
1613,9,2011-10-21 07:37:55,COMPLETE
1613,6,2011-10-21 07:37:56,COMPLETE
1613,7,2011-10-21 07:38:40,COMPLETE
1613,0,2011-10-21 07:41:53,COMPLETE
1613,5,2011-10-21 07:44:32,COMPLETE
1613,2,2011-10-26 12:17:14,COMPLETE
1613,1,2011-10-26 12:17:14,COMPLETE
1613,8,2011-10-26 12:17:14,COMPLETE
3793,9,2011-11-15 11:31:58,COMPLETE
3793,6,2011-11-15 11:31:59,COMPLETE
3793,7,2011-11-15 12:22:28,COMPLETE
3793,3,2011-11-19 12:17:06,COMPLETE
6637,9,2011-12-18 17:35:16,COMPLETE
6637,6,2011-12-18 17:35:17,COMPLETE
6637,7,2011-12-18 17:35:57,COMPLETE
6637,0,2011-12-19 08:21:26,COMPLETE
6637,5,2011-12-19 08:25:13,COMPLETE
6637,3,2011-12-24 14:03:12,COMPLETE
3107,9,2011-11-09 11:13:53,COMPLETE
3107,6,2011-11-09 11:13:55,COMPLETE
