caseId,activity,timestamp,lifecycle
564,1,2011-10-13 00:10:56,complete
564,5,2011-10-13 01:29:08,complete
564,1,2011-10-18 12:37:39,complete
564,2,2011-10-18 12:37:49,complete
564,0,2011-10-18 12:47:13,complete
564,1,2012-01-11 07:32:28,complete
564,4,2012-01-11 07:33:20,complete
744,1,2011-12-07 23:59:32,complete
744,4,2012-03-15 09:21:05,complete
1274,1,2012-03-26 13:05:13,complete
1274,5,2012-04-02 09:57:28,complete
1274,1,2012-04-02 09:57:57,complete
1274,5,2012-04-02 09:58:07,complete
1274,1,2012-04-10 18:28:22,complete
1274,4,2012-04-10 18:39:40,complete
809,1,2011-12-22 12:59:52,complete
809,4,2012-04-19 15:42:44,complete
346,1,2011-05-24 09:28:27,complete
346,5,2011-09-06 12:09:34,complete
346,1,2011-09-12 11:25:53,complete
346,2,2012-01-04 14:54:14,complete
346,4,2012-04-13 11:45:24,complete
682,1,2011-11-21 08:34:45,complete
682,2,2011-11-28 15:12:09,complete
682,1,2011-12-05 19:38:55,complete
682,4,2012-02-08 20:42:42,complete
328,1,2011-05-06 10:18:49,complete
328,4,2012-02-29 13:40:19,complete
1437,4,2012-05-09 15:27:42,complete
1097,1,2012-02-20 07:54:27,complete
1097,0,2012-02-20 08:01:46,complete
1097,2,2012-05-07 07:37:25,complete
1097,4,2012-05-07 07:38:25,complete
1343,1,2012-04-10 12:13:57,complete
1343,4,2012-04-10 12:18:10,complete
1343,1,2012-04-13 08:32:19,complete
1343,4,2012-04-23 12:37:54,complete
793,1,2011-12-20 00:48:36,complete
793,1,2011-12-20 00:49:14,complete
793,2,2012-02-07 18:48:51,complete
793,4,2012-05-28 09:50:17,complete
793,1,2012-05-28 10:04:15,complete
793,4,2012-05-28 10:06:04,complete
1432,1,2012-05-07 17:00:49,complete
1432,5,2012-05-07 17:02:48,complete
1432,1,2012-05-07 17:04:55,complete
1432,4,2012-05-24 13:46:48,complete
1190,1,2012-03-07 13:26:08,complete
1190,4,2012-04-25 07:42:09,complete
721,1,2011-12-02 11:45:33,complete
721,5,2011-12-02 11:51:13,complete
721,1,2011-12-06 10:32:54,complete
721,5,2011-12-06 10:35:01,complete
721,1,2011-12-06 11:50:12,complete
