caseId,activity,timestamp,lifecycle
1730,0,2012-02-01 09:57:24,complete
1730,11,2012-02-01 09:57:31,complete
1730,9,2012-02-01 11:22:24,complete
1730,1,2012-03-09 10:00:56,complete
1499,0,2013-03-25 11:51:21,complete
1499,11,2013-03-29 11:54:35,complete
1499,13,2013-03-29 14:28:33,complete
1499,9,2013-04-11 06:03:49,complete
1499,1,2013-04-26 06:04:10,complete
1830,0,2011-05-20 06:40:32,complete
1830,11,2011-05-20 06:41:04,complete
1830,9,2011-05-20 07:46:04,complete
1830,1,2011-06-22 06:50:25,complete
4153,0,2012-07-11 12:35:34,complete
4153,11,2012-07-12 05:10:08,complete
4153,9,2012-07-18 05:23:38,complete
4153,1,2012-08-11 12:40:19,complete
2575,0,2010-04-01 06:47:23,complete
2575,11,2010-04-01 07:01:46,complete
2575,9,2010-04-01 07:08:18,complete
2575,11,2010-04-01 09:50:59,complete
2575,9,2010-04-01 10:08:24,complete
2575,1,2010-05-15 06:50:38,complete
236,0,2013-06-27 07:48:58,complete
236,13,2013-06-27 07:49:24,complete
236,9,2013-07-23 06:40:47,complete
236,1,2013-08-07 06:41:00,complete
413,0,2012-06-07 12:17:19,complete
413,11,2012-06-07 12:17:28,complete
413,9,2012-06-18 09:22:15,complete
413,1,2012-07-21 12:20:25,complete
379,0,2011-04-19 11:42:45,complete
379,11,2011-04-19 11:45:25,complete
379,9,2011-04-19 11:45:42,complete
379,1,2011-06-02 11:50:17,complete
4445,0,2011-11-22 08:21:43,complete
4445,11,2011-11-29 08:36:04,complete
4445,9,2011-12-13 13:25:11,complete
4445,1,2011-12-28 13:25:22,complete
1344,0,2010-05-20 07:00:50,complete
1344,11,2010-05-20 07:26:34,complete
1344,9,2010-06-14 12:27:19,complete
1344,1,2010-06-29 12:27:32,complete
1137,0,2013-03-01 13:10:16,complete
1137,11,2013-03-01 14:32:18,complete
1137,13,2013-03-01 14:34:20,complete
1137,9,2013-04-08 06:53:12,complete
1137,1,2013-04-23 06:53:29,complete
138,0,2012-07-31 04:20:05,complete
138,11,2012-07-31 04:20:14,complete
138,9,2012-07-31 07:24:45,complete
138,1,2012-09-07 04:30:20,complete
683,0,2010-12-09 12:24:16,complete
683,11,2010-12-10 06:08:21,complete
683,9,2010-12-10 11:22:10,complete
683,1,2011-01-11 12:30:22,complete
3498,0,2013-01-21 13:07:53,complete
3498,11,2013-02-06 15:07:27,complete
3498,13,2013-02-26 11:59:28,complete
3498,9,2013-02-27 08:15:06,complete
3498,1,2013-03-14 08:15:20,complete
3384,0,2011-04-07 06:13:54,complete
3384,11,2011-04-07 06:14:10,complete
3384,11,2011-04-07 06:14:47,complete
3384,10,2011-04-18 11:12:31,complete
3384,9,2011-04-27 08:01:31,complete
3384,1,2011-05-18 13:00:22,complete
2208,0,2012-03-26 12:59:53,complete
2208,11,2012-03-26 13:00:03,complete
2208,9,2012-03-29 04:31:26,complete
2208,1,2012-05-18 13:00:48,complete
949,0,2010-05-17 05:15:30,complete
949,11,2010-06-01 12:54:31,complete
949,9,2010-06-07 07:32:29,complete
949,1,2010-07-07 07:32:55,complete
2451,0,2012-02-02 13:35:29,complete
2451,11,2012-02-03 14:58:01,complete
2451,9,2012-02-06 11:59:13,complete
2451,1,2012-03-06 13:40:26,complete
2364,0,2013-01-14 14:45:20,complete
2364,11,2013-01-29 08:21:37,complete
2364,13,2013-01-29 11:57:37,complete
2364,9,2013-01-30 08:06:37,complete
2364,1,2013-02-14 08:06:58,complete
952,0,2012-06-06 04:08:28,complete
952,11,2012-06-06 04:17:30,complete
952,13,2012-06-21 05:57:11,complete
952,9,2012-06-25 05:12:03,complete
952,1,2012-07-10 05:12:16,complete
2765,0,2011-06-17 05:02:53,complete
2765,11,2011-06-17 09:26:52,complete
2765,9,2011-06-17 09:28:55,complete
2765,1,2011-07-22 05:10:33,complete
3554,0,2012-06-26 05:11:31,complete
3554,11,2012-06-26 08:58:49,complete
3554,9,2012-06-29 05:30:47,complete
3554,1,2012-08-11 05:20:47,complete
1041,0,2011-06-28 11:36:57,complete
1041,0,2011-06-28 11:38:34,complete
1041,11,2011-06-29 04:12:01,complete
1041,13,2011-06-29 04:49:29,complete
1041,11,2011-07-05 06:47:04,complete
1041,9,2011-07-05 06:47:25,complete
1041,1,2011-08-27 04:41:12,complete
3443,0,2010-05-10 10:50:22,complete
3443,11,2010-05-12 09:16:49,complete
3443,9,2010-05-26 10:32:33,complete
3443,1,2010-06-10 11:00:39,complete
2205,0,2013-04-04 13:06:08,complete
2205,11,2013-04-17 05:37:20,complete
2205,9,2013-04-22 05:32:22,complete
2205,9,2013-04-22 05:32:22,complete
2205,1,2013-05-07 05:32:34,complete
2117,0,2012-03-30 03:41:55,complete
2117,11,2012-03-30 03:43:26,complete
2117,13,2012-03-30 03:49:33,complete
2117,9,2012-04-16 05:22:20,complete
2117,9,2012-04-16 05:22:24,complete
2117,1,2012-05-16 05:22:42,complete
672,0,2013-02-08 14:07:30,complete
672,9,2013-02-25 11:18:45,complete
672,9,2013-02-25 11:18:46,complete
672,1,2013-03-12 11:19:08,complete
2106,0,2011-05-02 04:48:53,complete
2106,11,2011-05-02 04:51:13,complete
2106,9,2011-05-02 07:22:19,complete
2106,1,2011-06-02 04:50:40,complete
4176,0,2011-06-29 07:00:04,complete
4176,0,2011-06-29 07:07:21,complete
4176,11,2011-06-29 08:13:16,complete
4176,9,2011-06-29 08:13:58,complete
4176,1,2011-08-27 07:10:24,complete
3158,0,2011-01-03 06:22:59,complete
3158,0,2011-01-10 08:35:25,complete
3158,11,2011-01-10 08:35:33,complete
3158,13,2011-01-11 09:16:12,complete
3158,11,2011-01-25 11:31:30,complete
3158,9,2011-01-25 11:31:38,complete
3158,1,2011-02-09 11:31:50,complete
704,0,2012-03-21 09:22:01,complete
704,11,2012-03-21 12:09:40,complete
704,9,2012-03-22 12:31:13,complete
704,1,2012-05-19 07:30:37,complete
1357,0,2012-02-01 09:34:03,complete
1357,9,2012-02-01 09:35:16,complete
1357,1,2012-03-09 09:40:26,complete
2975,0,2011-12-23 09:35:19,complete
2975,9,2011-12-23 09:35:48,complete
2975,1,2012-02-05 09:40:27,complete
