caseId,activity,timestamp,lifecycle
1283,0,2011-10-17 13:08:22,complete
1283,1,2011-10-17 13:08:56,complete
1283,5,2011-10-17 13:09:30,complete
1283,3,2011-10-17 13:09:57,complete
1283,16,2011-10-17 13:11:09,complete
1283,4,2011-10-17 13:19:10,complete
184,0,2012-01-17 07:38:18,complete
184,1,2012-01-17 07:38:52,complete
184,5,2012-01-17 07:39:32,complete
184,3,2012-01-17 07:40:36,complete
184,4,2012-01-17 07:42:11,complete
184,16,2012-01-17 07:44:59,complete
315,0,2010-11-19 08:08:14,complete
315,5,2010-11-19 08:12:32,complete
315,16,2010-11-19 08:12:51,complete
315,1,2010-11-19 08:13:40,complete
315,3,2010-11-23 11:47:07,complete
315,4,2010-11-30 08:25:07,complete
1021,0,2011-06-30 09:07:53,complete
1021,1,2011-06-30 09:08:17,complete
1021,4,2011-06-30 09:13:21,complete
1021,5,2011-06-30 09:13:52,complete
1021,16,2011-06-30 09:14:09,complete
1347,0,2011-09-30 08:43:30,complete
1347,1,2011-09-30 08:43:55,complete
1347,3,2011-09-30 08:44:12,complete
1347,4,2011-09-30 08:44:27,complete
1347,5,2011-09-30 08:44:46,complete
1347,16,2011-09-30 08:45:09,complete
945,0,2011-05-16 09:41:29,complete
945,1,2011-05-16 09:45:39,complete
945,3,2011-05-16 09:51:48,complete
945,4,2011-05-18 12:15:11,complete
945,5,2011-06-06 08:53:12,complete
945,16,2011-06-06 08:53:34,complete
547,0,2011-01-28 14:46:54,complete
381,0,2010-12-10 15:20:10,complete
381,5,2010-12-10 15:23:10,complete
381,16,2010-12-10 15:23:39,complete
381,1,2010-12-13 09:46:30,complete
381,3,2010-12-13 12:18:34,complete
381,4,2010-12-13 12:18:59,complete
932,0,2011-05-03 09:43:12,complete
932,1,2011-05-03 09:43:53,complete
932,3,2011-05-03 09:44:28,complete
932,5,2011-05-03 09:49:32,complete
932,16,2011-05-03 10:13:17,complete
932,4,2011-05-11 09:36:43,complete
1009,0,2011-06-16 06:29:10,complete
1009,1,2011-06-21 07:24:39,complete
1009,3,2011-06-21 07:25:29,complete
1009,4,2011-06-21 07:25:46,complete
1009,5,2011-06-21 07:26:06,complete
1009,16,2011-06-22 08:17:22,complete
1009,17,2011-06-28 07:22:56,complete
1009,18,2011-06-28 07:23:46,complete
1009,20,2011-07-01 14:09:31,complete
1009,21,2011-07-07 07:39:23,complete
479,0,2011-01-26 07:24:39,complete
1054,0,2011-07-05 06:44:33,complete
1054,5,2011-07-05 06:45:08,complete
1054,1,2011-07-05 06:48:01,complete
1054,3,2011-07-05 06:48:20,complete
1054,4,2011-07-05 06:48:54,complete
1054,16,2011-07-15 12:03:46,complete
914,0,2011-04-28 09:47:22,complete
914,1,2011-04-28 09:47:38,complete
914,3,2011-04-28 09:47:51,complete
914,4,2011-04-28 09:48:08,complete
914,5,2011-04-28 09:57:56,complete
914,16,2011-04-28 09:58:15,complete
908,0,2011-05-02 10:34:06,complete
908,1,2011-05-02 10:34:34,complete
908,3,2011-05-02 10:34:50,complete
908,4,2011-05-02 10:35:03,complete
908,5,2011-05-02 10:35:17,complete
908,16,2011-05-13 10:03:08,complete
192,0,2012-01-06 13:20:51,complete
192,1,2012-01-06 13:23:09,complete
192,3,2012-01-06 13:25:09,complete
192,4,2012-01-06 13:25:43,complete
192,5,2012-01-06 13:52:05,complete
192,16,2012-01-06 13:53:11,complete
525,0,2011-03-01 12:43:51,complete
525,1,2011-03-02 07:27:07,complete
525,5,2011-03-02 07:33:01,complete
525,16,2011-03-02 07:33:39,complete
525,3,2011-03-02 08:00:13,complete
525,4,2011-03-02 13:26:03,complete
482,0,2011-02-08 13:04:04,complete
871,0,2011-06-06 14:34:14,complete
1068,0,2011-07-21 09:06:02,complete
1068,1,2011-07-21 09:19:35,complete
1068,3,2011-07-21 09:20:37,complete
1068,4,2011-07-21 09:21:55,complete
1068,5,2011-07-21 09:22:40,complete
1068,16,2011-07-21 09:34:35,complete
134,0,2012-01-18 09:04:47,complete
134,1,2012-01-18 09:05:30,complete
134,3,2012-01-18 09:06:07,complete
134,4,2012-01-18 09:06:51,complete
134,5,2012-01-18 09:07:26,complete
134,16,2012-01-18 09:08:01,complete
789,0,2011-03-31 13:46:08,complete
789,1,2011-03-31 13:47:53,complete
789,5,2011-03-31 13:49:45,complete
789,16,2011-03-31 13:50:06,complete
789,3,2011-04-06 12:34:52,complete
789,4,2011-04-06 12:48:34,complete
368,0,2010-12-03 12:48:01,complete
368,1,2010-12-03 12:48:16,complete
368,3,2010-12-03 13:50:01,complete
368,4,2010-12-06 13:40:49,complete
