CaseID,ActivityID
case-10011,0
case-10011,1
case-10011,2
case-10011,1
case-10017,0
case-10017,3
case-10017,1
case-10017,2
case-10017,1
case-10017,4
case-10017,2
case-10017,1
case-10017,2
case-10024,0
case-10024,1
case-10024,5
case-10024,6
case-10024,3
case-10024,4
case-10025,0
case-10025,1
case-10025,5
case-10025,6
case-10025,3
case-10025,4
case-10028,0
case-10028,1
case-10028,5
case-10028,6
case-10028,3
case-10028,4
case-10028,7
case-10028,8
case-10028,9
case-10028,10
case-10059,0
case-10059,1
case-10059,5
case-10059,6
case-10059,3
case-10059,4
case-10061,0
case-10061,3
case-10061,4
case-10061,1
case-10061,5
case-10061,6
case-10062,0
case-10065,0
case-10065,1
case-10065,5
case-10065,6
case-10065,3
case-10065,4
case-10066,0
case-10066,1
case-10066,5
case-10066,6
case-10066,3
case-10066,4
case-10067,0
case-10067,1
case-10067,5
case-10067,6
case-10067,3
case-10067,4
case-10068,0
case-10068,1
case-10068,5
case-10068,6
case-10068,3
case-10068,4
case-10069,0
case-10069,1
case-10069,5
case-10069,6
case-10069,3
case-10069,4
case-10070,0
case-10070,3
case-10070,1
case-10070,5
case-10070,4
case-10070,6
case-10071,0
case-10071,1
case-10071,5
case-10071,6
case-10071,3
case-10071,4
case-10071,11
case-10071,12
case-10071,13
case-10071,14
case-10072,0
case-10072,1
case-10072,5
case-10072,6
case-10072,3
case-10072,4
case-10073,0
case-10073,1
case-10073,5
case-10073,6
case-10073,3
case-10073,15
case-10073,16
case-10073,17
case-10073,3
case-10073,4
case-10075,0
case-10087,0
case-10087,1
case-10087,5
case-10087,6
case-10087,3
case-10087,4
case-10089,0
case-10089,1
case-10089,5
case-10089,6
case-10089,3
case-10089,4
case-10089,11
case-10090,0
case-10090,1
case-10090,5
case-10090,6
case-10090,3
case-10090,4
case-10094,0
case-10094,1
case-10094,5
case-10094,6
case-10094,3
case-10094,4
case-10095,0
case-10098,0
case-10098,1
case-10098,5
case-10098,6
case-10098,3
case-10098,4
case-10099,0
case-10099,1
case-10099,5
case-10099,6
case-10099,3
case-10099,4
case-10101,0
case-10101,1
case-10101,5
case-10101,6
case-10101,3
case-10101,4
case-10102,0
case-10102,1
case-10102,5
case-10102,6
case-10102,3
case-10102,4
case-10103,0
case-10103,1
case-10103,5
case-10103,6
case-10103,3
case-10103,4
case-10105,0
case-10105,1
case-10105,5
case-10105,6
case-10105,3
case-10105,4
case-10120,0
case-10120,1
case-10120,5
case-10120,6
case-10120,3
case-10120,4
case-10127,0
case-10127,1
case-10127,5
case-10127,6
case-10127,3
case-10127,4
case-10134,0
case-10134,1
case-10134,5
case-10134,6
case-10134,3
case-10134,4
case-10136,0
case-10136,3
case-10136,1
case-10136,5
case-10136,6
case-10136,4
case-10138,0
case-10138,1
case-10138,5
case-10138,3
case-10138,4
case-10138,6
case-10139,0
case-10146,0
case-10146,1
case-10146,5
case-10146,6
case-10146,3
case-10146,4
case-10147,0
case-10147,1
case-10147,5
case-10147,6
case-10147,3
case-10147,4
case-10159,0
case-10159,1
case-10159,5
case-10159,6
case-10159,3
case-10159,4
case-10160,0
case-10160,1
case-10160,5
case-10160,6
case-10160,3
case-10163,0
case-10164,0
case-10164,1
case-10164,3
