org:resource,lifecycle:transition,concept:name,time:timestamp,case:REG_DATE,case:concept:name,case:AMOUNT_REQ
112,COMPLETE,A_SUBMITTED,2011-10-12 18:37:09.088000+00:00,2011-10-12 20:37:09.088000+02:00,176581,10000
112,COMPLETE,A_PARTLYSUBMITTED,2011-10-12 18:37:09.186000+00:00,2011-10-12 20:37:09.088000+02:00,176581,10000
112,COMPLETE,A_PREACCEPTED,2011-10-12 18:38:27.815000+00:00,2011-10-12 20:37:09.088000+02:00,176581,10000
11179,COMPLETE,A_ACCEPTED,2011-10-12 18:52:20.323000+00:00,2011-10-12 20:37:09.088000+02:00,176581,10000
11179,COMPLETE,A_FINALIZED,2011-10-12 18:53:47.756000+00:00,2011-10-12 20:37:09.088000+02:00,176581,10000
10609,COMPLETE,A_ACTIVATED,2011-10-31 06:56:48.853000+00:00,2011-10-12 20:37:09.088000+02:00,176581,10000
10609,COMPLETE,A_APPROVED,2011-10-31 06:56:48.853000+00:00,2011-10-12 20:37:09.088000+02:00,176581,10000
10609,COMPLETE,A_REGISTERED,2011-10-31 06:56:48.853000+00:00,2011-10-12 20:37:09.088000+02:00,176581,10000
112,COMPLETE,A_SUBMITTED,2011-11-17 17:17:31.337000+00:00,2011-11-17 18:17:31.337000+01:00,186532,2000
112,COMPLETE,A_PARTLYSUBMITTED,2011-11-17 17:17:31.446000+00:00,2011-11-17 18:17:31.337000+01:00,186532,2000
112,COMPLETE,A_DECLINED,2011-11-17 17:18:07.139000+00:00,2011-11-17 18:17:31.337000+01:00,186532,2000
112,COMPLETE,A_SUBMITTED,2011-11-14 19:41:53.969000+00:00,2011-11-14 20:41:53.968000+01:00,185336,5900
112,COMPLETE,A_PARTLYSUBMITTED,2011-11-14 19:41:55.311000+00:00,2011-11-14 20:41:53.968000+01:00,185336,5900
10881,COMPLETE,A_DECLINED,2011-11-14 19:58:37.990000+00:00,2011-11-14 20:41:53.968000+01:00,185336,5900
112,COMPLETE,A_SUBMITTED,2011-11-04 15:21:52.526000+00:00,2011-11-04 16:21:52.526000+01:00,182266,7500
112,COMPLETE,A_PARTLYSUBMITTED,2011-11-04 15:21:52.820000+00:00,2011-11-04 16:21:52.526000+01:00,182266,7500
112,COMPLETE,A_PREACCEPTED,2011-11-04 15:22:25.160000+00:00,2011-11-04 16:21:52.526000+01:00,182266,7500
11203,COMPLETE,A_DECLINED,2011-11-04 17:23:57.303000+00:00,2011-11-04 16:21:52.526000+01:00,182266,7500
112,COMPLETE,A_SUBMITTED,2012-02-11 15:02:29.847000+00:00,2012-02-11 16:02:29.847000+01:00,208430,5000
112,COMPLETE,A_PARTLYSUBMITTED,2012-02-11 15:02:31.241000+00:00,2012-02-11 16:02:29.847000+01:00,208430,5000
112,COMPLETE,A_PREACCEPTED,2012-02-11 15:03:13.019000+00:00,2012-02-11 16:02:29.847000+01:00,208430,5000
10909,COMPLETE,A_ACCEPTED,2012-02-13 09:54:55.558000+00:00,2012-02-11 16:02:29.847000+01:00,208430,5000
10909,COMPLETE,A_FINALIZED,2012-02-13 09:57:24.286000+00:00,2012-02-11 16:02:29.847000+01:00,208430,5000
10913,COMPLETE,A_CANCELLED,2012-02-20 15:18:38.370000+00:00,2012-02-11 16:02:29.847000+01:00,208430,5000
112,COMPLETE,A_SUBMITTED,2012-02-06 12:19:19.915000+00:00,2012-02-06 13:19:19.915000+01:00,206775,2500
112,COMPLETE,A_PARTLYSUBMITTED,2012-02-06 12:19:21.187000+00:00,2012-02-06 13:19:19.915000+01:00,206775,2500
112,COMPLETE,A_PREACCEPTED,2012-02-06 12:20:01.478000+00:00,2012-02-06 13:19:19.915000+01:00,206775,2500
11119,COMPLETE,A_CANCELLED,2012-02-06 19:05:56.162000+00:00,2012-02-06 13:19:19.915000+01:00,206775,2500
112,COMPLETE,A_SUBMITTED,2011-10-15 15:31:28.469000+00:00,2011-10-15 17:31:28.469000+02:00,177197,30000
112,COMPLETE,A_PARTLYSUBMITTED,2011-10-15 15:31:28.625000+00:00,2011-10-15 17:31:28.469000+02:00,177197,30000
112,COMPLETE,A_PREACCEPTED,2011-10-15 15:32:00.733000+00:00,2011-10-15 17:31:28.469000+02:00,177197,30000
11201,COMPLETE,A_ACCEPTED,2011-10-17 07:23:07.176000+00:00,2011-10-15 17:31:28.469000+02:00,177197,30000
11201,COMPLETE,A_FINALIZED,2011-10-17 07:25:38.723000+00:00,2011-10-15 17:31:28.469000+02:00,177197,30000
10629,COMPLETE,A_REGISTERED,2011-10-31 11:14:32.564000+00:00,2011-10-15 17:31:28.469000+02:00,177197,30000
10629,COMPLETE,A_APPROVED,2011-10-31 11:14:32.564000+00:00,2011-10-15 17:31:28.469000+02:00,177197,30000
10629,COMPLETE,A_ACTIVATED,2011-10-31 11:14:32.564000+00:00,2011-10-15 17:31:28.469000+02:00,177197,30000
112,COMPLETE,A_SUBMITTED,2012-01-03 11:31:08.298000+00:00,2012-01-03 12:31:08.298000+01:00,197503,5000
112,COMPLETE,A_PARTLYSUBMITTED,2012-01-03 11:31:08.432000+00:00,2012-01-03 12:31:08.298000+01:00,197503,5000
112,COMPLETE,A_DECLINED,2012-01-03 11:31:42.281000+00:00,2012-01-03 12:31:08.298000+01:00,197503,5000
112,COMPLETE,A_SUBMITTED,2012-01-18 15:37:00.196000+00:00,2012-01-18 16:37:00.196000+01:00,202056,26500
112,COMPLETE,A_PARTLYSUBMITTED,2012-01-18 15:37:00.641000+00:00,2012-01-18 16:37:00.196000+01:00,202056,26500
10861,COMPLETE,A_PREACCEPTED,2012-01-18 15:40:10.293000+00:00,2012-01-18 16:37:00.196000+01:00,202056,26500
10861,COMPLETE,A_ACCEPTED,2012-01-18 15:41:58.953000+00:00,2012-01-18 16:37:00.196000+01:00,202056,26500
10861,COMPLETE,A_FINALIZED,2012-01-18 15:48:46.476000+00:00,2012-01-18 16:37:00.196000+01:00,202056,26500
112,COMPLETE,A_CANCELLED,2012-02-18 08:15:59.018000+00:00,2012-01-18 16:37:00.196000+01:00,202056,26500
112,COMPLETE,A_SUBMITTED,2012-01-12 15:14:07.860000+00:00,2012-01-12 16:14:07.860000+01:00,200290,15000
112,COMPLETE,A_PARTLYSUBMITTED,2012-01-12 15:14:08.133000+00:00,2012-01-12 16:14:07.860000+01:00,200290,15000
112,COMPLETE,A_PREACCEPTED,2012-01-12 15:14:43.614000+00:00,2012-01-12 16:14:07.860000+01:00,200290,15000
11122,COMPLETE,A_ACCEPTED,2012-01-12 15:19:49.322000+00:00,2012-01-12 16:14:07.860000+01:00,200290,15000
11122,COMPLETE,A_FINALIZED,2012-01-12 15:22:26.309000+00:00,2012-01-12 16:14:07.860000+01:00,200290,15000
10972,COMPLETE,A_APPROVED,2012-01-24 09:44:42.367000+00:00,2012-01-12 16:14:07.860000+01:00,200290,15000
10972,COMPLETE,A_REGISTERED,2012-01-24 09:44:42.368000+00:00,2012-01-12 16:14:07.860000+01:00,200290,15000
10972,COMPLETE,A_ACTIVATED,2012-01-24 09:44:42.368000+00:00,2012-01-12 16:14:07.860000+01:00,200290,15000
112,COMPLETE,A_SUBMITTED,2012-02-26 00:51:21.313000+00:00,2012-02-26 01:51:21.313000+01:00,212884,30000
112,COMPLETE,A_PARTLYSUBMITTED,2012-02-26 00:51:21.532000+00:00,2012-02-26 01:51:21.313000+01:00,212884,30000
112,COMPLETE,A_DECLINED,2012-02-26 00:52:12.351000+00:00,2012-02-26 01:51:21.313000+01:00,212884,30000
112,COMPLETE,A_SUBMITTED,2012-01-02 12:50:55.804000+00:00,2012-01-02 13:50:55.803000+01:00,197150,15600
112,COMPLETE,A_PARTLYSUBMITTED,2012-01-02 12:50:55.898000+00:00,2012-01-02 13:50:55.803000+01:00,197150,15600
112,COMPLETE,A_PREACCEPTED,2012-01-02 12:51:32.319000+00:00,2012-01-02 13:50:55.803000+01:00,197150,15600
11122,COMPLETE,A_DECLINED,2012-01-02 19:33:15.295000+00:00,2012-01-02 13:50:55.803000+01:00,197150,15600
112,COMPLETE,A_SUBMITTED,2011-12-10 12:30:06.392000+00:00,2011-12-10 13:30:06.392000+01:00,192569,10000
112,COMPLETE,A_PARTLYSUBMITTED,2011-12-10 12:30:06.627000+00:00,2011-12-10 13:30:06.392000+01:00,192569,10000
11000,COMPLETE,A_DECLINED,2011-12-10 12:32:45.003000+00:00,2011-12-10 13:30:06.392000+01:00,192569,10000
112,COMPLETE,A_SUBMITTED,2012-02-17 18:40:15.199000+00:00,2012-02-17 19:40:15.199000+01:00,210467,30500
112,COMPLETE,A_PARTLYSUBMITTED,2012-02-17 18:40:15.515000+00:00,2012-02-17 19:40:15.199000+01:00,210467,30500
112,COMPLETE,A_PREACCEPTED,2012-02-17 18:40:51.039000+00:00,2012-02-17 19:40:15.199000+01:00,210467,30500
10881,COMPLETE,A_ACCEPTED,2012-02-17 18:53:58.313000+00:00,2012-02-17 19:40:15.199000+01:00,210467,30500
10881,COMPLETE,A_FINALIZED,2012-02-17 18:55:57.881000+00:00,2012-02-17 19:40:15.199000+01:00,210467,30500
10972,COMPLETE,A_APPROVED,2012-03-09 13:23:46.524000+00:00,2012-02-17 19:40:15.199000+01:00,210467,30500
10972,COMPLETE,A_REGISTERED,2012-03-09 13:23:46.525000+00:00,2012-02-17 19:40:15.199000+01:00,210467,30500
10972,COMPLETE,A_ACTIVATED,2012-03-09 13:23:46.525000+00:00,2012-02-17 19:40:15.199000+01:00,210467,30500
112,COMPLETE,A_SUBMITTED,2011-12-07 08:30:48.602000+00:00,2011-12-07 09:30:48.601000+01:00,191848,5000
