concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,org:group,case:concept:name,case:variant,case:variant-index,case:creator
Accepted-In Progress,complete,Cyrille-Org line C,2011-10-13 00:10:56+00:00,Accepted-In Progress,Cyrille,Org line C,1-585714932,Variant 68,68,Fluxicon Disco
Queued-Awaiting Assignment,complete,Cyrille-Org line C,2011-10-13 01:29:08+00:00,Queued-Awaiting Assignment,Cyrille,Org line C,1-585714932,Variant 68,68,Fluxicon Disco
Accepted-In Progress,complete,Karthick-Org line C,2011-10-18 12:37:39+00:00,Accepted-In Progress,Karthick,Org line C,1-585714932,Variant 68,68,Fluxicon Disco
Accepted-Wait,complete,Karthick-Org line C,2011-10-18 12:37:49+00:00,Accepted-Wait,Karthick,Org line C,1-585714932,Variant 68,68,Fluxicon Disco
Accepted-Assigned,complete,Mahesh-Org line C,2011-10-18 12:47:13+00:00,Accepted-Assigned,Mahesh,Org line C,1-585714932,Variant 68,68,Fluxicon Disco
Accepted-In Progress,complete,Mahesh-Org line C,2012-01-11 07:32:28+00:00,Accepted-In Progress,Mahesh,Org line C,1-585714932,Variant 68,68,Fluxicon Disco
Completed-Closed,complete,Mahesh-Org line C,2012-01-11 07:33:20+00:00,Completed-Closed,Mahesh,Org line C,1-585714932,Variant 68,68,Fluxicon Disco
Accepted-In Progress,complete,Per-Erik-Org line C,2011-12-07 23:59:32+00:00,Accepted-In Progress,Per-Erik,Org line C,1-620857518,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Per-Erik-Org line C,2012-03-15 09:21:05+00:00,Completed-Closed,Per-Erik,Org line C,1-620857518,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Thiruvenkidam-Org line A2,2012-03-26 13:05:13+00:00,Accepted-In Progress,Thiruvenkidam,Org line A2,1-702501138,Variant 11,11,Fluxicon Disco
Queued-Awaiting Assignment,complete,Thiruvenkidam-Org line A2,2012-04-02 09:57:28+00:00,Queued-Awaiting Assignment,Thiruvenkidam,Org line A2,1-702501138,Variant 11,11,Fluxicon Disco
Accepted-In Progress,complete,Fredrik-Org line C,2012-04-02 09:57:57+00:00,Accepted-In Progress,Fredrik,Org line C,1-702501138,Variant 11,11,Fluxicon Disco
Queued-Awaiting Assignment,complete,Thiruvenkidam-Org line A2,2012-04-02 09:58:07+00:00,Queued-Awaiting Assignment,Thiruvenkidam,Org line A2,1-702501138,Variant 11,11,Fluxicon Disco
Accepted-In Progress,complete,Joanne-Org line A2,2012-04-10 18:28:22+00:00,Accepted-In Progress,Joanne,Org line A2,1-702501138,Variant 11,11,Fluxicon Disco
Completed-Closed,complete,Joanne-Org line A2,2012-04-10 18:39:40+00:00,Completed-Closed,Joanne,Org line A2,1-702501138,Variant 11,11,Fluxicon Disco
Accepted-In Progress,complete,Vikrant-Org line A2,2011-12-22 12:59:52+00:00,Accepted-In Progress,Vikrant,Org line A2,1-628078553,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Vikrant-Org line A2,2012-04-19 15:42:44+00:00,Completed-Closed,Vikrant,Org line A2,1-628078553,Variant 1,1,Fluxicon Disco
Accepted-In Progress,complete,Cecilia-Org line V2,2011-05-24 09:28:27+00:00,Accepted-In Progress,Cecilia,Org line V2,1-528251011,Variant 9,9,Fluxicon Disco
Queued-Awaiting Assignment,complete,Cecilia-Org line V2,2011-09-06 12:09:34+00:00,Queued-Awaiting Assignment,Cecilia,Org line V2,1-528251011,Variant 9,9,Fluxicon Disco
Accepted-In Progress,complete,Lennart-Org line V2,2011-09-12 11:25:53+00:00,Accepted-In Progress,Lennart,Org line V2,1-528251011,Variant 9,9,Fluxicon Disco
Accepted-Wait,complete,Lennart-Org line V2,2012-01-04 14:54:14+00:00,Accepted-Wait,Lennart,Org line V2,1-528251011,Variant 9,9,Fluxicon Disco
Completed-Closed,complete,Lennart-Org line V2,2012-04-13 11:45:24+00:00,Completed-Closed,Lennart,Org line V2,1-528251011,Variant 9,9,Fluxicon Disco
Accepted-In Progress,complete,Roland-Org line G4,2011-11-21 08:34:45+00:00,Accepted-In Progress,Roland,Org line G4,1-613033122,Variant 7,7,Fluxicon Disco
Accepted-Wait,complete,Roland-Org line G4,2011-11-28 15:12:09+00:00,Accepted-Wait,Roland,Org line G4,1-613033122,Variant 7,7,Fluxicon Disco
Accepted-In Progress,complete,Roland-Org line G4,2011-12-05 19:38:55+00:00,Accepted-In Progress,Roland,Org line G4,1-613033122,Variant 7,7,Fluxicon Disco
Completed-Closed,complete,Roland-Org line G4,2012-02-08 20:42:42+00:00,Completed-Closed,Roland,Org line G4,1-613033122,Variant 7,7,Fluxicon Disco
Accepted-In Progress,complete,Mikael-Org line A2,2011-05-06 10:18:49+00:00,Accepted-In Progress,Mikael,Org line A2,1-523637826,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Mikael-Org line A2,2012-02-29 13:40:19+00:00,Completed-Closed,Mikael,Org line A2,1-523637826,Variant 1,1,Fluxicon Disco
Completed-Closed,complete,Maria-Org line A2,2012-05-09 15:27:42+00:00,Completed-Closed,Maria,Org line A2,1-742833777,Variant 326,326,Fluxicon Disco
Accepted-In Progress,complete,Piotr-Org line A2,2012-02-20 07:54:27+00:00,Accepted-In Progress,Piotr,Org line A2,1-683298971,Variant 14,14,Fluxicon Disco
Accepted-Assigned,complete,Piotr-Org line A2,2012-02-20 08:01:46+00:00,Accepted-Assigned,Piotr,Org line A2,1-683298971,Variant 14,14,Fluxicon Disco
Accepted-Wait,complete,Piotr-Org line A2,2012-05-07 07:37:25+00:00,Accepted-Wait,Piotr,Org line A2,1-683298971,Variant 14,14,Fluxicon Disco
Completed-Closed,complete,Piotr-Org line A2,2012-05-07 07:38:25+00:00,Completed-Closed,Piotr,Org line A2,1-683298971,Variant 14,14,Fluxicon Disco
Accepted-In Progress,complete,Martin-Org line C,2012-04-10 12:13:57+00:00,Accepted-In Progress,Martin,Org line C,1-715660478,Variant 12,12,Fluxicon Disco
Completed-Closed,complete,Martin-Org line C,2012-04-10 12:18:10+00:00,Completed-Closed,Martin,Org line C,1-715660478,Variant 12,12,Fluxicon Disco
Accepted-In Progress,complete,Martin-Org line C,2012-04-13 08:32:19+00:00,Accepted-In Progress,Martin,Org line C,1-715660478,Variant 12,12,Fluxicon Disco
Completed-Closed,complete,Martin-Org line C,2012-04-23 12:37:54+00:00,Completed-Closed,Martin,Org line C,1-715660478,Variant 12,12,Fluxicon Disco
Accepted-In Progress,complete,Vaibhav-Org line C,2011-12-20 00:48:36+00:00,Accepted-In Progress,Vaibhav,Org line C,1-626292231,Variant 244,244,Fluxicon Disco
Accepted-In Progress,complete,Vaibhav-Org line C,2011-12-20 00:49:14+00:00,Accepted-In Progress,Vaibhav,Org line C,1-626292231,Variant 244,244,Fluxicon Disco
Accepted-Wait,complete,Vaibhav-Org line C,2012-02-07 18:48:51+00:00,Accepted-Wait,Vaibhav,Org line C,1-626292231,Variant 244,244,Fluxicon Disco
