concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,case:concept:name,case:variant,case:variant-index,case:creator
Assign seriousness,complete,Value 2,2012-02-01 09:57:24+00:00,Assign seriousness,Value 2,Case2556,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 2,2012-02-01 09:57:31+00:00,Take in charge ticket,Value 2,Case2556,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 2,2012-02-01 11:22:24+00:00,Resolve ticket,Value 2,Case2556,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2012-03-09 10:00:56+00:00,Closed,Value 5,Case2556,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 9,2013-03-25 11:51:21+00:00,Assign seriousness,Value 9,Case2348,Variant 2,2,Fluxicon Disco
Take in charge ticket,complete,Value 9,2013-03-29 11:54:35+00:00,Take in charge ticket,Value 9,Case2348,Variant 2,2,Fluxicon Disco
Wait,complete,Value 9,2013-03-29 14:28:33+00:00,Wait,Value 9,Case2348,Variant 2,2,Fluxicon Disco
Resolve ticket,complete,Value 9,2013-04-11 06:03:49+00:00,Resolve ticket,Value 9,Case2348,Variant 2,2,Fluxicon Disco
Closed,complete,Value 3,2013-04-26 06:04:10+00:00,Closed,Value 3,Case2348,Variant 2,2,Fluxicon Disco
Assign seriousness,complete,Value 8,2011-05-20 06:40:32+00:00,Assign seriousness,Value 8,Case2646,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 8,2011-05-20 06:41:04+00:00,Take in charge ticket,Value 8,Case2646,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 9,2011-05-20 07:46:04+00:00,Resolve ticket,Value 9,Case2646,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2011-06-22 06:50:25+00:00,Closed,Value 5,Case2646,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 1,2012-07-11 12:35:34+00:00,Assign seriousness,Value 1,Case614,Variant 1,1,Fluxicon Disco
Take in charge ticket,complete,Value 13,2012-07-12 05:10:08+00:00,Take in charge ticket,Value 13,Case614,Variant 1,1,Fluxicon Disco
Resolve ticket,complete,Value 13,2012-07-18 05:23:38+00:00,Resolve ticket,Value 13,Case614,Variant 1,1,Fluxicon Disco
Closed,complete,Value 5,2012-08-11 12:40:19+00:00,Closed,Value 5,Case614,Variant 1,1,Fluxicon Disco
Assign seriousness,complete,Value 16,2010-04-01 06:47:23+00:00,Assign seriousness,Value 16,Case3316,Variant 9,9,Fluxicon Disco
Take in charge ticket,complete,Value 16,2010-04-01 07:01:46+00:00,Take in charge ticket,Value 16,Case3316,Variant 9,9,Fluxicon Disco
Resolve ticket,complete,Value 16,2010-04-01 07:08:18+00:00,Resolve ticket,Value 16,Case3316,Variant 9,9,Fluxicon Disco
Take in charge ticket,complete,Value 16,2010-04-01 09:50:59+00:00,Take in charge ticket,Value 16,Case3316,Variant 9,9,Fluxicon Disco
Resolve ticket,complete,Value 16,2010-04-01 10:08:24+00:00,Resolve ticket,Value 16,Case3316,Variant 9,9,Fluxicon Disco
Closed,complete,Value 5,2010-05-15 06:50:38+00:00,Closed,Value 5,Case3316,Variant 9,9,Fluxicon Disco
Assign seriousness,complete,Value 1,2013-06-27 07:48:58+00:00,Assign seriousness,Value 1,Case1210,Variant 25,25,Fluxicon Disco
Wait,complete,Value 1,2013-06-27 07:49:24+00:00,Wait,Value 1,Case1210,Variant 25,25,Fluxicon Disco
Resolve ticket,complete,Value 1,2013-07-23 06:40:47+00:00,Resolve ticket,Value 1,Case1210,Variant 25,25,Fluxicon Disco
Closed,complete,Value 3,2013-08-07 06:41:00+00:00,Closed,Value 3,Case1210,Variant 25,25,Fluxicon Disco
Assign seriousness,complete,Value 1,2012-06-07 12:17:19+00:00,Assign seriousness,Value 1,Case1370,Variant 1,1,Fluxicon Disco
