CaseID,ActivityID,CompleteTimestamp,Resource
1113,0,2012-02-01 09:57:24,Value 2
1113,9,2012-02-01 09:57:31,Value 2
1113,7,2012-02-01 11:22:24,Value 2
1113,1,2012-03-09 10:00:56,Value 5
962,0,2013-03-25 11:51:21,Value 9
962,9,2013-03-29 11:54:35,Value 9
962,11,2013-03-29 14:28:33,Value 9
962,7,2013-04-11 06:03:49,Value 9
962,1,2013-04-26 06:04:10,Value 3
1167,0,2011-05-20 06:40:32,Value 8
1167,9,2011-05-20 06:41:04,Value 8
1167,7,2011-05-20 07:46:04,Value 9
1167,1,2011-06-22 06:50:25,Value 5
2644,0,2012-07-11 12:35:34,Value 1
2644,9,2012-07-12 05:10:08,Value 13
2644,7,2012-07-18 05:23:38,Value 13
2644,1,2012-08-11 12:40:19,Value 5
1637,0,2010-04-01 06:47:23,Value 16
1637,9,2010-04-01 07:01:46,Value 16
1637,7,2010-04-01 07:08:18,Value 16
1637,9,2010-04-01 09:50:59,Value 16
1637,7,2010-04-01 10:08:24,Value 16
1637,1,2010-05-15 06:50:38,Value 5
159,0,2013-06-27 07:48:58,Value 1
159,11,2013-06-27 07:49:24,Value 1
159,7,2013-07-23 06:40:47,Value 1
159,1,2013-08-07 06:41:00,Value 3
268,0,2012-06-07 12:17:19,Value 1
268,9,2012-06-07 12:17:28,Value 1
268,7,2012-06-18 09:22:15,Value 1
268,1,2012-07-21 12:20:25,Value 5
246,0,2011-04-19 11:42:45,Value 8
246,9,2011-04-19 11:45:25,Value 8
246,7,2011-04-19 11:45:42,Value 8
246,1,2011-06-02 11:50:17,Value 5
2843,0,2011-11-22 08:21:43,Value 1
2843,9,2011-11-29 08:36:04,Value 2
2843,7,2011-12-13 13:25:11,Value 2
2843,1,2011-12-28 13:25:22,Value 5
859,0,2010-05-20 07:00:50,Value 2
859,9,2010-05-20 07:26:34,Value 2
859,7,2010-06-14 12:27:19,Value 2
859,1,2010-06-29 12:27:32,Value 5
727,0,2013-03-01 13:10:16,Value 4
727,9,2013-03-01 14:32:18,Value 2
727,11,2013-03-01 14:34:20,Value 2
727,7,2013-04-08 06:53:12,Value 2
727,1,2013-04-23 06:53:29,Value 3
93,0,2012-07-31 04:20:05,Value 1
93,9,2012-07-31 04:20:14,Value 1
93,7,2012-07-31 07:24:45,Value 1
93,1,2012-09-07 04:30:20,Value 5
431,0,2010-12-09 12:24:16,Value 2
431,9,2010-12-10 06:08:21,Value 15
431,7,2010-12-10 11:22:10,Value 15
431,1,2011-01-11 12:30:22,Value 5
2219,0,2013-01-21 13:07:53,Value 13
2219,9,2013-02-06 15:07:27,Value 2
2219,11,2013-02-26 11:59:28,Value 2
2219,7,2013-02-27 08:15:06,Value 2
2219,1,2013-03-14 08:15:20,Value 3
2143,0,2011-04-07 06:13:54,Value 8
2143,9,2011-04-07 06:14:10,Value 8
2143,9,2011-04-07 06:14:47,Value 8
2143,8,2011-04-18 11:12:31,Value 12
2143,7,2011-04-27 08:01:31,Value 2
2143,1,2011-05-18 13:00:22,Value 5
1409,0,2012-03-26 12:59:53,Value 1
1409,9,2012-03-26 13:00:03,Value 1
1409,7,2012-03-29 04:31:26,Value 1
1409,1,2012-05-18 13:00:48,Value 5
610,0,2010-05-17 05:15:30,Value 2
610,9,2010-06-01 12:54:31,Value 2
610,7,2010-06-07 07:32:29,Value 2
610,1,2010-07-07 07:32:55,Value 5
1563,0,2012-02-02 13:35:29,Value 4
1563,9,2012-02-03 14:58:01,Value 9
1563,7,2012-02-06 11:59:13,Value 9
1563,1,2012-03-06 13:40:26,Value 5
1509,0,2013-01-14 14:45:20,Value 13
1509,9,2013-01-29 08:21:37,Value 9
1509,11,2013-01-29 11:57:37,Value 9
1509,7,2013-01-30 08:06:37,Value 9
1509,1,2013-02-14 08:06:58,Value 3
612,0,2012-06-06 04:08:28,Value 4
612,9,2012-06-06 04:17:30,Value 4
612,11,2012-06-21 05:57:11,Value 4
612,7,2012-06-25 05:12:03,Value 4
612,1,2012-07-10 05:12:16,Value 5
1747,0,2011-06-17 05:02:53,Value 2
1747,9,2011-06-17 09:26:52,Value 2
1747,7,2011-06-17 09:28:55,Value 2
1747,1,2011-07-22 05:10:33,Value 5
2256,0,2012-06-26 05:11:31,Value 1
2256,9,2012-06-26 08:58:49,Value 4
2256,7,2012-06-29 05:30:47,Value 4
2256,1,2012-08-11 05:20:47,Value 5
668,0,2011-06-28 11:36:57,Value 8
668,0,2011-06-28 11:38:34,Value 8
668,9,2011-06-29 04:12:01,Value 9
668,11,2011-06-29 04:49:29,Value 9
668,9,2011-07-05 06:47:04,Value 9
668,7,2011-07-05 06:47:25,Value 9
668,1,2011-08-27 04:41:12,Value 5
2182,0,2010-05-10 10:50:22,Value 6
2182,9,2010-05-12 09:16:49,Value 2
2182,7,2010-05-26 10:32:33,Value 2
2182,1,2010-06-10 11:00:39,Value 5
1407,0,2013-04-04 13:06:08,Value 1
1407,9,2013-04-17 05:37:20,Value 9
1407,7,2013-04-22 05:32:22,Value 2
1407,7,2013-04-22 05:32:22,Value 2
1407,1,2013-05-07 05:32:34,Value 3
1347,0,2012-03-30 03:41:55,Value 2
1347,9,2012-03-30 03:43:26,Value 2
1347,11,2012-03-30 03:49:33,Value 2
1347,7,2012-04-16 05:22:20,Value 1
1347,7,2012-04-16 05:22:24,Value 1
1347,1,2012-05-16 05:22:42,Value 5
424,0,2013-02-08 14:07:30,Value 1
424,7,2013-02-25 11:18:45,Value 2
424,7,2013-02-25 11:18:46,Value 2
424,1,2013-03-12 11:19:08,Value 3
1338,0,2011-05-02 04:48:53,Value 8
1338,9,2011-05-02 04:51:13,Value 8
1338,7,2011-05-02 07:22:19,Value 14
1338,1,2011-06-02 04:50:40,Value 5
2658,0,2011-06-29 07:00:04,Value 2
2658,0,2011-06-29 07:07:21,Value 2
2658,9,2011-06-29 08:13:16,Value 17
2658,7,2011-06-29 08:13:58,Value 17
2658,1,2011-08-27 07:10:24,Value 5
1994,0,2011-01-03 06:22:59,Value 8
1994,0,2011-01-10 08:35:25,Value 2
1994,9,2011-01-10 08:35:33,Value 2
1994,11,2011-01-11 09:16:12,Value 9
1994,9,2011-01-25 11:31:30,Value 9
1994,7,2011-01-25 11:31:38,Value 9
1994,1,2011-02-09 11:31:50,Value 5
448,0,2012-03-21 09:22:01,Value 1
448,9,2012-03-21 12:09:40,Value 17
448,7,2012-03-22 12:31:13,Value 17
448,1,2012-05-19 07:30:37,Value 5
866,0,2012-02-01 09:34:03,Value 2
866,7,2012-02-01 09:35:16,Value 2
866,1,2012-03-09 09:40:26,Value 5
1880,0,2011-12-23 09:35:19,Value 1
1880,7,2011-12-23 09:35:48,Value 1
1880,1,2012-02-05 09:40:27,Value 5
2852,0,2011-06-07 05:02:07,Value 8
2852,9,2011-06-07 05:02:22,Value 8
2852,7,2011-06-08 04:28:41,Value 8
2852,1,2011-08-05 05:10:44,Value 5
